Tijd,Spanning,Stroom
19:14:48,False,False
19:14:49,False,False
19:14:50,False,False
19:14:51,False,False
19:14:52,False,False
19:14:53,False,False
19:14:54,False,False
19:14:55,False,False
19:14:56,False,False
19:14:57,False,False
19:14:58,False,False
19:14:59,False,False
19:15:00,False,False
19:15:01,False,False
19:15:02,False,False
19:15:03,False,False
19:15:04,False,False
19:15:05,False,False
19:15:06,False,False
19:15:07,False,False
19:15:08,False,False
19:15:09,False,False
19:15:10,False,False
19:15:11,False,False
19:15:12,False,False
19:15:13,False,False
19:15:14,False,False
19:15:15,False,False
19:15:16,False,False
19:15:17,False,False
19:15:18,False,False
19:15:19,False,False
19:15:20,False,False
19:15:21,False,False
19:15:22,False,False
19:15:23,False,False
19:15:24,False,False
19:15:25,False,False
19:15:26,False,False
19:15:27,False,False
19:15:28,False,False
19:15:29,False,False
19:15:30,False,False
19:15:31,False,False
19:15:32,False,False
19:15:33,False,False
19:15:34,False,False
19:15:35,False,False
19:15:36,False,False
19:15:37,False,False
19:15:38,False,False
19:15:39,False,False
19:15:40,False,False
19:15:41,False,False
19:15:42,False,False
19:15:43,False,False
19:15:44,False,False
19:15:45,False,False
19:15:46,False,False
19:15:47,False,False
19:15:48,False,False
19:15:49,False,False
19:15:50,False,False
19:15:51,False,False
19:15:52,False,False
19:15:53,False,False
19:15:54,False,False
19:15:55,False,False
19:15:56,False,False
19:15:57,False,False
19:15:58,False,False
19:15:59,False,False
19:16:00,False,False
19:16:01,False,False
19:16:02,False,False
19:16:03,False,False
19:16:04,False,False
19:16:05,False,False
19:16:06,False,False
19:16:07,False,False
19:16:08,False,False
19:16:09,False,False
19:16:10,False,False
19:16:11,False,False
19:16:12,False,False
19:16:13,False,False
19:16:14,False,False
19:16:15,False,False
19:16:16,False,False
19:16:17,False,False
19:16:18,False,False
19:16:19,False,False
19:16:20,False,False
19:16:21,False,False
19:16:22,False,False
19:16:23,False,False
19:16:24,False,False
19:16:25,False,False
19:16:26,False,False
19:16:27,False,False
19:16:28,False,False
19:16:29,False,False
19:16:30,False,False
19:16:31,False,False
19:16:32,False,False
19:16:33,False,False
19:16:34,False,False
19:16:35,False,False
19:16:36,False,False
19:16:37,False,False
19:16:38,False,False
19:16:39,False,False
19:16:40,False,False
19:16:41,False,False
19:16:42,False,False
19:16:43,False,False
19:16:44,False,False
19:16:45,False,False
19:16:46,False,False
19:16:47,False,False
19:16:48,False,False
19:16:49,False,False
19:16:50,False,False
19:16:51,False,False
19:16:52,False,False
19:16:53,False,False
19:16:54,False,False
19:16:55,False,False
19:16:56,False,False
19:16:57,False,False
19:16:58,False,False
19:16:59,False,False
19:17:00,False,False
19:17:01,False,False
19:17:02,False,False
19:17:03,False,False
19:17:04,False,False
19:17:05,False,False
19:17:06,False,False
19:17:07,False,False
19:17:08,False,False
19:17:09,False,False
19:17:10,False,False
19:17:11,False,False
19:17:12,False,False
19:17:13,False,False
19:17:14,False,False
19:17:15,False,False
19:17:16,False,False
19:17:17,False,False
19:17:18,False,False
19:17:19,False,False
19:17:20,False,False
19:17:21,False,False
19:17:22,False,False
19:17:23,False,False
19:17:24,False,False
19:17:25,False,False
19:17:26,False,False
19:17:27,False,False
19:17:28,False,False
19:17:29,False,False
19:17:30,False,False
19:17:31,False,False
19:17:32,False,False
19:17:33,False,False
19:17:34,False,False
19:17:35,False,False
19:17:36,False,False
19:17:37,False,False
19:17:38,False,False
19:17:39,False,False
19:17:40,False,False
19:17:41,False,False
19:17:42,False,False
19:17:43,False,False
19:17:44,False,False
19:17:45,False,False
19:17:46,False,False
19:17:47,False,False
19:17:48,False,False
19:17:49,False,False
19:17:50,False,False
19:17:51,False,False
19:17:52,False,False
19:17:53,False,False
19:17:54,False,False
19:17:55,False,False
19:17:56,False,False
19:17:57,False,False
19:17:58,False,False
19:17:59,False,False
19:18:00,False,False
19:18:01,False,False
19:18:02,False,False
19:18:03,False,False
19:18:04,False,False
19:18:05,False,False
19:18:06,False,False
19:18:07,False,False
19:18:08,False,False
19:18:09,False,False
19:18:10,False,False
19:18:11,False,False
19:18:12,False,False
19:18:13,False,False
19:18:14,False,False
19:18:15,False,False
19:18:16,False,False
19:18:17,False,False
19:18:18,False,False
19:18:19,False,False
19:18:20,False,False
19:18:21,False,False
19:18:22,False,False
19:18:23,False,False
19:18:24,False,False
19:18:25,False,False
19:18:26,False,False
19:18:27,False,False
19:18:28,False,False
19:18:29,False,False
19:18:30,False,False
19:18:31,False,False
19:18:32,False,False
19:18:33,False,False
19:18:34,False,False
19:18:35,False,False
19:18:36,False,False
19:18:37,False,False
19:18:38,False,False
19:18:39,False,False
19:18:40,False,False
19:18:41,False,False
19:18:42,False,False
19:18:43,False,False
19:18:44,False,False
19:18:45,False,False
19:18:46,False,False
19:18:47,False,False
19:18:48,False,False
19:18:49,False,False
19:18:50,False,False
19:18:51,False,False
19:18:52,False,False
19:18:53,False,False
19:18:54,False,False
19:18:55,False,False
19:18:56,False,False
19:18:57,False,False
19:18:58,False,False
19:18:59,False,False
19:19:00,False,False
19:19:01,False,False
19:19:02,False,False
19:19:03,False,False
19:19:04,False,False
19:19:05,False,False
19:19:06,False,False
19:19:07,False,False
19:19:08,False,False
19:19:09,False,False
19:19:10,False,False
19:19:11,False,False
19:19:12,False,False
19:19:13,False,False
19:19:14,False,False
19:19:15,False,False
19:19:16,False,False
19:19:17,False,False
19:19:18,False,False
19:19:19,False,False
19:19:20,False,False
19:19:21,False,False
19:19:22,False,False
19:19:23,False,False
19:19:24,False,False
19:19:25,False,False
19:19:26,False,False
19:19:27,False,False
19:19:28,False,False
19:19:29,False,False
19:19:30,False,False
19:19:31,False,False
19:19:32,False,False
19:19:33,False,False
19:19:34,False,False
19:19:35,False,False
19:19:36,False,False
19:19:37,False,False
19:19:38,False,False
19:19:39,False,False
19:19:40,False,False
19:19:41,False,False
19:19:42,False,False
19:19:43,False,False
19:19:44,False,False
19:19:45,False,False
19:19:46,False,False
19:19:47,False,False
19:19:48,False,False
19:19:49,False,False
19:19:50,False,False
19:19:51,False,False
19:19:52,False,False
19:19:53,False,False
19:19:54,False,False
19:19:55,False,False
19:19:56,False,False
19:19:57,False,False
19:19:58,False,False
19:19:59,False,False
19:20:00,False,False
19:20:01,False,False
19:20:02,False,False
19:20:03,False,False
19:20:04,False,False
19:20:05,False,False
19:20:06,False,False
19:20:07,False,False
19:20:08,False,False
19:20:09,False,False
19:20:10,False,False
19:20:11,False,False
19:20:12,False,False
19:20:13,False,False
19:20:14,False,False
19:20:15,False,False
19:20:16,False,False
19:20:17,False,False
19:20:18,False,False
19:20:19,False,False
19:20:20,False,False
19:20:21,False,False
19:20:22,False,False
19:20:23,False,False
19:20:24,False,False
19:20:25,False,False
19:20:26,False,False
19:20:27,False,False
19:20:28,False,False
19:20:29,False,False
19:20:30,False,False
19:20:31,False,False
19:20:32,False,False
19:20:33,False,False
19:20:34,False,False
19:20:35,False,False
19:20:36,False,False
19:20:37,False,False
19:20:38,False,False
19:20:39,False,False
19:20:40,False,False
19:20:41,False,False
19:20:42,False,False
19:20:43,False,False
19:20:44,False,False
19:20:45,False,False
19:20:46,False,False
19:20:47,False,False
19:20:48,False,False
19:20:49,False,False
19:20:50,False,False
19:20:51,False,False
19:20:52,False,False
19:20:53,False,False
19:20:54,False,False
19:20:55,False,False
19:20:56,False,False
19:20:57,False,False
19:20:58,False,False
19:20:59,False,False
19:21:00,False,False
19:21:01,False,False
19:21:02,False,False
19:21:03,False,False
19:21:04,False,False
19:21:05,False,False
19:21:06,False,False
19:21:07,False,False
