x,Curve1
0.10137,59.39
0.11204,53.94
0.12816,48.34
0.14354,44.38
0.16034,40.63
0.17911,37.71
0.19849,34.99
0.21998,32.21
0.2368,30.61
0.2659,28.1
0.2947,26.22
0.3232,24.72
0.3535,23.184
0.3907,21.628
0.4262,20.338
0.4649,19.229
0.5235,17.7
0.5847,16.468
0.6549,15.159
0.7296,13.916
0.839,12.81
0.9056,12.078
1.001,11.328
1.092,10.568
1.2006,9.911
1.3553,9.051
1.514,8.443
1.6086,8.047
1.764,7.567
1.9446,7.135
2.1551,6.692
2.382,6.276
2.682,5.918
2.988,5.491
3.355,5.122
3.818,4.766
4.231,4.518
4.713,4.249
5.237,4.017
5.912,3.747
6.621,3.552
7.338,3.358
8.349,3.158
9.326,2.962
10.556,2.785
11.822,2.633
13.416,2.476
14.986,2.335
16.917,2.2016
18.946,2.0649
21.387,1.9574
24.79,1.8457
27.76,1.7637
31.84,1.6674
37.58,1.5764
44.6,1.5064
52.52,1.455
62.49,1.3941
76.14,1.3286
95.5,1.2764
125.93,1.2197
170.48,1.1656
237.6,1.1198
346.3,1.0729
525,1.028
806.5,0.9876
1187.8,0.9437
1791.4,0.9067
3018,0.9067
4874,0.9018
8188,0.9513
12846,0.985
19995,1.0253
2.657e+04,1.0587
4.093e+04,1.07
6.371e+04,1.0902
1.0619e+05,1.0787
1.5355e+05,1.0307
1.9208e+05,0.9823
2.2438e+05,0.9362
2.546e+05,0.9042
2.727e+05,0.8641
2.905e+05,0.8301
3.014e+05,0.7954
3.144e+05,0.7641
3.297e+05,0.7322
3.421e+05,0.6941
3.587e+05,0.6304
3.732e+05,0.562
3.903e+05,0.493
4.072e+05,0.3645
4.237e+05,0.2943
4.443e+05,0.2709
4.622e+05,0.2568
5.136e+05,0.2481
5.797e+05,0.2474
6.789e+05,0.2638
7.347e+05,0.2746
8.035e+05,0.2866
8.673e+05,0.2999
9.287e+05,0.3105
1.0157e+06,0.3249
1.0992e+06,0.3373
1.1989e+06,0.3549
1.2771e+06,0.3704
1.3712e+06,0.3897
1.5155e+06,0.4078
1.6228e+06,0.4222
1.7241e+06,0.4383
1.8366e+06,0.4575
1.9875e+06,0.4762
2.1622e+06,0.501
2.39e+06,0.5215
2.62e+06,0.5457
2.873e+06,0.565
3.159e+06,0.5881
3.547e+06,0.6154
4.046e+06,0.644
4.739e+06,0.6704
5.448e+06,0.6978
6.398e+06,0.7034
8.046e+06,0.6959
9.202e+06,0.6978
