Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	18	0	0.0118968988	0	0	0	0	0	0	0	0	0	0	3
2	24	0	0.0237937977	0	0	0	0	0	0	0	0	0	0	3
3	29	0	0.0356906965	0	0	0	0	0	0	0	0	0	0	3
4	35	0	0.0475875953	0	0	0	0	0	0	0	0	0	0	3
5	42	0	0.0594844941	0	0	0	0	0	0	0	0	0	0	3
6	49	0	0.071381393	0	0	0	0	0	0	0	0	0	0	3
7	56	0	0.0832782918	0	0	0	0	0	0	0	0	0	0	3
8	63	0	0.0951751906	0	0	0	0	0	0	0	0	0	0	3
9	68	0	0.107072089	0	0	0	0	0	0	0	0	0	0	3
10	73	0	0.118968988	0	0	0	0	0	0	0	0	0	0	3
11	78	0	0.130865887	0	0	0	0	0	0	0	0	0	0	3
12	83	0	0.142762786	0	0	0	0	0	0	0	0	0	0	3
13	89	0	0.154659685	0	0	0	0	0	0	0	0	0	0	3
14	94	0	0.166556584	0	0	0	0	0	0	0	0	0	0	3
15	99	0	0.178453482	0	0	0	0	0	0	0	0	0	0	3
16	104	0	0.190350381	0	0	0	0	0	0	0	0	0	0	3
17	109	0	0.20224728	0	0	0	0	0	0	0	0	0	0	3
18	114	0	0.214144179	0	0	0	0	0	0	0	0	0	0	3
19	119	0	0.226041078	0	0	0	0	0	0	0	0	0	0	3
20	124	0	0.237937977	0	0	0	0	0	0	0	0	0	0	3
21	129	0	0.249834875	0	0	0	0	0	0	0	0	0	0	3
22	134	0	0.261731774	0	0	0	0	0	0	0	0	0	0	3
23	139	0	0.273628673	0	0	0	0	0	0	0	0	0	0	3
24	143	0	0.285525572	0	0	0	0	0	0	0	0	0	0	3
25	148	0	0.297422471	0	0	0	0	0	0	0	0	0	0	3
26	153	0	0.30931937	0	0	0	0	0	0	0	0	0	0	3
27	158	0	0.321216268	0	0	0	0	0	0	0	0	0	0	3
28	163	0	0.333113167	0	0	0	0	0	0	0	0	0	0	3
