Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	24	0	0.011190137	293.200393	293.200393	293.200393	293.200393	0	0	0	0.391497	0	0	3
2	32	0	0.0223802741	293.200444	293.200418	293.200393	293.200444	2.58754586e-005	0	0	0.310232	0	0	3
3	39	0	0.0335704111	293.200465	293.200434	293.200393	293.200465	4.13281269e-005	0	0	0.273031	0	0	3
4	46	0	0.0447605481	293.200481	293.200446	293.200393	293.200481	5.31593283e-005	0	0	0.611997	0	0	3
5	54	0	0.0559506852	293.200498	293.200456	293.200393	293.200498	6.36124317e-005	0	0	0.770505	0	0	3
6	62	0	0.0671408222	293.200522	293.200467	293.200393	293.200522	7.45220818e-005	0	0	0.770509	0	0	3
7	70	0	0.0783309593	293.200553	293.200479	293.200393	293.200553	8.67309215e-005	0	0	0.517032	0	0	3
8	77	0	0.0895210963	293.200579	293.200492	293.200393	293.200579	9.92548382e-005	0	0	0.305423	0	0	3
9	84	0	0.100711233	293.200608	293.200505	293.200393	293.200608	0.000112148836	0	0	0.197386	0	0	3
10	91	0	0.11190137	293.200633	293.200518	293.200393	293.200633	0.000124972184	0	0	0.187251	0	0	3
11	97	0	0.123091507	293.200673	293.200532	293.200393	293.200673	0.000139093393	0	0	0.175818	0	0	3
12	105	0	0.134281644	293.200711	293.200547	293.200393	293.200711	0.000154002133	0	0	0.165551	0	0	3
13	111	0	0.145471781	293.200747	293.200562	293.200393	293.200747	0.00016943221	0	0	0.156953	0	0	3
14	118	0	0.156661919	293.200783	293.200578	293.200393	293.200783	0.000185182842	0	0	0.150838	0	0	3
15	125	0	0.167852056	293.200817	293.200594	293.200393	293.200817	0.000201104438	0	0	0.143368	0	0	3
16	132	0	0.179042193	293.200869	293.200611	293.200393	293.200869	0.000218340795	0	0	0.163785	0	0	3
17	139	0	0.19023233	293.200923	293.200629	293.200393	293.200923	0.000236688471	0	0	0.196254	0	0	3
18	146	0	0.201422467	293.200976	293.200649	293.200393	293.200976	0.000255961577	0	0	0.223034	0	0	3
19	153	0	0.212612604	293.201029	293.200669	293.200393	293.201029	0.000275991442	0	0	0.24478	0	0	3
20	159	0	0.223802741	293.201082	293.200689	293.200393	293.201082	0.000296641367	0	0	0.264729	0	0	3
21	166	0	0.234992878	293.201162	293.200712	293.200393	293.201162	0.000319134963	0	0	0.27996	0	0	3
22	173	0	0.246183015	293.201242	293.200736	293.200393	293.201242	0.000343243629	0	0	0.28565	0	0	3
23	180	0	0.257373152	293.201323	293.200761	293.200393	293.201323	0.000368794269	0	0	0.287046	0	0	3
24	187	0	0.268563289	293.201405	293.200788	293.200393	293.201405	0.000395598259	0	0	0.288892	0	0	3
25	194	0	0.279753426	293.201486	293.200816	293.200393	293.201486	0.000423512009	0	0	0.28648	0	0	3
26	201	0	0.290943563	293.201605	293.200846	293.200393	293.201605	0.000453858781	0	0	0.296692	0	0	3
27	207	0	0.3021337	293.201722	293.200879	293.200393	293.201722	0.000486284492	0	0	0.305192	0	0	3
28	214	0	0.313323837	293.201835	293.200913	293.200393	293.201835	0.000520419261	0	0	0.317052	0	0	3
29	221	0	0.324513974	293.201942	293.200948	293.200393	293.201942	0.000555918406	0	0	0.346402	0	0	3
30	228	0	0.335704111	293.202044	293.200985	293.200393	293.202044	0.000592445314	0	0	0.369986	0	0	3
31	235	0	0.346894248	293.202184	293.201024	293.200393	293.202184	0.000631114656	0	0	0.407589	0	0	3
32	241	0	0.358084385	293.202313	293.201064	293.200393	293.202313	0.000671393158	0	0	0.432472	0	0	3
33	248	0	0.369274522	293.202431	293.201105	293.200393	293.202431	0.000712817288	0	0	0.471433	0	0	3
34	255	0	0.380464659	293.202538	293.201148	293.200393	293.202538	0.000754951934	0	0	0.488402	0	0	3
35	262	0	0.391654796	293.202635	293.20119	293.200393	293.202635	0.000797444817	0	0	0.518246	0	0	3
36	269	0	0.402844933	293.202755	293.201233	293.200393	293.202755	0.000840914264	0	0	0.530847	0	0	3
37	276	0	0.41403507	293.202857	293.201277	293.200393	293.202857	0.000884790756	0	0	0.553047	0	0	3
38	283	0	0.425225207	293.202943	293.201321	293.200393	293.202943	0.000928633075	0	0	0.574159	0	0	3
39	290	0	0.436415344	293.203019	293.201365	293.200393	293.203019	0.000972173259	0	0	0.5583	0	0	3
40	297	0	0.447605481	293.203089	293.201408	293.200393	293.203089	0.00101527819	0	0	0.558948	0	0	3
41	304	0	0.458795619	293.203177	293.201451	293.200393	293.203177	0.00105843344	0	0	0.542818	0	0	3
42	311	0	0.469985756	293.203272	293.201494	293.200393	293.203272	0.00110179974	0	0	0.548546	0	0	3
43	318	0	0.481175893	293.203377	293.201538	293.200393	293.203377	0.00114557824	0	0	0.54981	0	0	3
44	325	0	0.49236603	293.203493	293.201583	293.200393	293.203493	0.00119001228	0	0	0.553418	0	0	3
45	332	0	0.503556167	293.203622	293.201628	293.200393	293.203622	0.00123532661	0	0	0.512763	0	0	3
46	339	0	0.514746304	293.203761	293.201703	293.200444	293.203761	0.00128431229	0	0	0.500027	0	0	3
47	346	0	0.525936441	293.20391	293.20178	293.200465	293.20391	0.0013458851	0	0	0.486131	0	0	3
48	353	0	0.537126578	293.204058	293.20186	293.200481	293.204058	0.00141390648	0	0	0.468489	0	0	3
49	360	0	0.548316715	293.204203	293.201942	293.200498	293.204203	0.00148616803	0	0	0.44723	0	0	3
50	367	0	0.559506852	293.204338	293.202028	293.200522	293.204338	0.00156058883	0	0	0.422522	0	0	3
51	375	0	0.570696989	293.204452	293.202115	293.200553	293.204452	0.00163571996	0	0	0.397305	0	0	3
52	382	0	0.581887126	293.204536	293.202204	293.200579	293.204536	0.00171172736	0	0	0.374642	0	0	3
53	389	0	0.593077263	293.204591	293.202293	293.200608	293.204591	0.0017879752	0	0	0.364255	0	0	3
54	396	0	0.6042674	293.204625	293.202382	293.200633	293.204625	0.00186442259	0	0	0.355313	0	0	3
55	403	0	0.615457537	293.20465	293.202471	293.200673	293.20465	0.00193957116	0	0	0.346527	0	0	3
56	410	0	0.626647674	293.204668	293.20256	293.200711	293.204668	0.00201344212	0	0	0.338543	0	0	3
57	417	0	0.637837811	293.204683	293.202648	293.200747	293.204683	0.00208628454	0	0	0.330682	0	0	3
58	424	0	0.649027948	293.204691	293.202736	293.200783	293.204691	0.0021581677	0	0	0.324804	0	0	3
59	431	0	0.660218085	293.204698	293.202823	293.200817	293.204698	0.00222924603	0	0	0.318084	0	0	3
60	438	0	0.671408222	293.204707	293.202909	293.200869	293.204707	0.00229845829	0	0	0.313109	0	0	3
61	445	0	0.682598359	293.204724	293.202995	293.200923	293.204724	0.00236576572	0	0	0.309163	0	0	3
62	452	0	0.693788496	293.204751	293.20308	293.200976	293.204751	0.00243156003	0	0	0.306506	0	0	3
63	459	0	0.704978633	293.204786	293.203165	293.201029	293.204786	0.00249619069	0	0	0.303875	0	0	3
64	467	0	0.71616877	293.204829	293.203249	293.201082	293.204829	0.00255997239	0	0	0.302272	0	0	3
65	474	0	0.727358907	293.204869	293.203333	293.201162	293.204869	0.00262163699	0	0	0.300328	0	0	3
66	480	0	0.738549044	293.2049	293.203416	293.201242	293.2049	0.00268061204	0	0	0.296661	0	0	3
67	488	0	0.749739182	293.204918	293.203498	293.201323	293.204918	0.00273674095	0	0	0.294191	0	0	3
68	495	0	0.760929319	293.204926	293.203578	293.201405	293.204926	0.00278998739	0	0	0.292826	0	0	3
69	502	0	0.772119456	293.204926	293.203656	293.201486	293.204926	0.00284032152	0	0	0.290922	0	0	3
70	509	0	0.783309593	293.204919	293.203733	293.201605	293.204926	0.00288627294	0	0	0.289877	0	0	3
71	516	0	0.79449973	293.204908	293.203806	293.201722	293.204926	0.00292723635	0	0	0.288141	0	0	3
72	523	0	0.805689867	293.204893	293.203877	293.201835	293.204926	0.00296357083	0	0	0.287127	0	0	3
73	530	0	0.816880004	293.204879	293.203944	293.201942	293.204926	0.00298335035	0	0	0.285388	0	0	3
74	537	0	0.828070141	293.204867	293.204009	293.202044	293.204926	0.00288151919	0	0	0.284255	0	0	3
75	544	0	0.839260278	293.204861	293.204072	293.202184	293.204926	0.0027420499	0	0	0.282334	0	0	3
76	551	0	0.850450415	293.204859	293.204131	293.202313	293.204926	0.0026132181	0	0	0.280955	0	0	3
77	558	0	0.861640552	293.204862	293.204188	293.202431	293.204926	0.00249485538	0	0	0.278664	0	0	3
78	565	0	0.872830689	293.204865	293.204242	293.202538	293.204926	0.00238784956	0	0	0.27679	0	0	3
79	572	0	0.884020826	293.204868	293.204294	293.202635	293.204926	0.00229104196	0	0	0.273998	0	0	3
80	579	0	0.895210963	293.204873	293.204343	293.202755	293.204926	0.0021708999	0	0	0.27169	0	0	3
81	586	0	0.9064011	293.204877	293.204391	293.202857	293.204926	0.00206890038	0	0	0.268454	0	0	3
82	593	0	0.917591237	293.204879	293.204436	293.202943	293.204926	0.00198244594	0	0	0.265712	0	0	3
83	600	0	0.928781374	293.204878	293.204479	293.203019	293.204926	0.00190654454	0	0	0.262281	0	0	3
84	607	0	0.939971511	293.204874	293.20452	293.203089	293.204926	0.00183687426	0	0	0.259133	0	0	3
85	614	0	0.951161648	293.20487	293.204559	293.203177	293.204926	0.00174860138	0	0	0.257644	0	0	3
86	621	0	0.962351785	293.204867	293.204597	293.203272	293.204926	0.00165342676	0	0	0.253853	0	0	3
87	628	0	0.973541922	293.204865	293.204632	293.203377	293.204926	0.00154896985	0	0	0.251104	0	0	3
88	635	0	0.984732059	293.204862	293.204665	293.203493	293.204926	0.00143256858	0	0	0.246324	0	0	3
89	642	0	0.995922196	293.204858	293.204696	293.203622	293.204926	0.00130408761	0	0	0.242183	0	0	3
90	649	0	1.00711233	293.204854	293.204723	293.203761	293.204926	0.00116449357	0.000133830341	0	0.236708	0	0	3
91	656	0	1.01830247	293.204848	293.204747	293.20391	293.204926	0.00101534746	0.000133830341	0	0.231662	0	0	3
92	663	0	1.02949261	293.204841	293.204768	293.204058	293.204926	0.000867645441	0.000133830341	0	0.225677	0	0	3
93	670	0	1.04068274	293.204834	293.204785	293.204203	293.204926	0.000722432401	0.000133830341	0	0.220052	0	0	3
94	677	0	1.05187288	293.204828	293.204799	293.204338	293.204926	0.000587949809	0.000133830341	0	0.214	0	0	3
95	684	0	1.06306302	293.204824	293.20481	293.204452	293.204926	0.000473875555	0.000133830341	0	0.208652	0	0	3
96	691	0	1.07425316	293.204822	293.204818	293.204536	293.204926	0.000389351761	0.000133830341	0	0.203452	0	0	3
97	698	0	1.08544329	293.204823	293.204824	293.204591	293.204926	0.000334939785	0.000133830341	0	0.19807	0	0	3
98	704	0	1.09663343	293.204826	293.20483	293.204625	293.204926	0.000300760626	0.000133830341	0	0.193353	0	0	3
99	711	0	1.10782357	293.204828	293.204834	293.20465	293.204926	0.000275722592	0.000133830341	0	0.187897	0	0	3
100	718	0	1.1190137	293.204829	293.204838	293.204668	293.204926	0.000257852854	0.000133830341	0	0.183231	0	0	3
101	727	0	1.13020384	293.204827	293.204842	293.204683	293.204926	0.000242984108	0.000133830341	0	0.177871	0	0	3
102	734	0	1.14139398	293.204823	293.204845	293.204691	293.204926	0.000235131034	0.000133830341	0	0.173377	0	0	3
103	741	0	1.15258411	293.204817	293.204848	293.204698	293.204926	0.000228307269	0.000133830341	0	0.16829	0	0	3
104	748	0	1.16377425	293.204811	293.20485	293.204707	293.204926	0.000219050267	0.000133830341	0	0.163976	0	0	3
105	755	0	1.17496439	293.204803	293.204852	293.204724	293.204926	0.000201878746	0.000133830341	0	0.159145	0	0	3
106	762	0	1.18615453	293.204797	293.204854	293.204751	293.204926	0.000174959674	0.000133830341	0	0.15514	0	0	3
107	769	0	1.19734466	293.204792	293.204855	293.204786	293.204926	0.000139917125	0.000133830341	0	0.150574	0	0	3
108	776	0	1.2085348	293.204788	293.204855	293.204788	293.204926	0.000137405438	0.000133830341	0	0.146807	0	0	3
109	783	0	1.21972494	293.204787	293.204854	293.204787	293.204926	0.000139247612	0.000133830341	0	0.142592	0	0	3
110	790	0	1.23091507	293.204785	293.204852	293.204785	293.204926	0.000141114164	0.000133830341	0	0.139147	0	0	3
111	796	0	1.24210521	293.204783	293.204849	293.204783	293.204926	0.000142729176	0.000133830341	0	0.135237	0	0	3
112	804	0	1.25329535	293.204781	293.204846	293.204781	293.204926	0.000144783005	0.000133830341	0	0.132234	0	0	3
113	811	0	1.26448549	293.204779	293.204843	293.204779	293.204926	0.000146820489	0.000133830341	0	0.128703	0	0	3
114	817	0	1.27567562	293.204776	293.20484	293.204776	293.204919	0.000143216131	0.000133830341	0	0.125994	0	0	3
115	824	0	1.28686576	293.204773	293.204837	293.204773	293.204908	0.000134161063	0.000133830341	0	0.122895	0	0	3
116	831	0	1.2980559	293.20477	293.204834	293.20477	293.204893	0.000122856534	0.000133830341	0	0.120639	0	0	3
117	838	0	1.30924603	293.204768	293.204831	293.204768	293.204879	0.000111025021	0.000133830341	0	0.117809	0	0	3
118	845	0	1.32043617	293.204766	293.204828	293.204766	293.204879	0.000112842179	0.000133830341	0	0.115779	0	0	3
119	852	0	1.33162631	293.204764	293.204826	293.204764	293.204879	0.000114365602	0.000133830341	0	0.113333	0	0	3
120	859	0	1.34281644	293.204763	293.204824	293.204763	293.204879	0.000115524666	0.000133830341	0	0.111471	0	0	3
121	866	0	1.35400658	293.204763	293.204822	293.204763	293.204879	0.000115524666	0.000133830341	0	0.110603	0	0	3
122	872	0	1.36519672	293.204763	293.204819	293.204763	293.204879	0.000115524666	0.000133830341	0	0.110679	0	0	3
123	879	0	1.37638686	293.204763	293.204817	293.204763	293.204879	0.000115771222	0.000133830341	0	0.110718	0	0	3
124	886	0	1.38757699	293.204762	293.204815	293.204762	293.204879	0.000116539351	0.000133830341	0	0.110949	0	0	3
125	893	0	1.39876713	293.204761	293.204812	293.204761	293.204879	0.000117670399	0.000133830341	0	0.110428	0	0	3
126	900	0	1.40995727	293.204759	293.20481	293.204759	293.204879	0.000119298066	0.000133830341	0	0.110555	0	0	3
127	907	0	1.4211474	293.204757	293.204807	293.204757	293.204878	0.000120551385	0.000133830341	0	0.110644	0	0	3
128	914	0	1.43233754	293.204756	293.204804	293.204756	293.204874	0.00011896236	0.000133830341	0	0.110854	0	0	3
129	920	0	1.44352768	293.204754	293.204802	293.204754	293.20487	0.000116134024	0.000133830341	0	0.110954	0	0	3
