Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.0114948988	-2.7789132	-2.7789132	-2.7789132	-2.7789132	0	0	0	0	0	0	3
2	33	0	0.0229897977	-0.143118707	-1.46101595	-2.7789132	-0.143118707	1.31789724	0	0	0	0	0	3
3	40	0	0.0344846965	-0.12415475	-1.01539555	-2.7789132	-0.12415475	1.76351765	0	0	0	0	0	3
4	53	0	0.0459795953	0.123513664	-0.730668248	-2.7789132	0.123513664	2.04824495	0	0	0	0	0	3
5	70	0	0.0574744941	-0.207091618	-0.625952922	-2.7789132	0.123513664	2.15296028	0	0	0	0	0	3
6	79	0	0.068969393	0.00839266697	-0.520228657	-2.7789132	0.123513664	2.25868454	0	0	0	0	0	3
7	88	0	0.0804642918	-0.126925152	-0.464042442	-2.7789132	0.123513664	2.31487076	0	0	0	0	0	3
8	96	0	0.0919591906	0.022552204	-0.403218111	-2.7789132	0.123513664	2.37569509	0	0	0	0	0	3
9	104	0	0.103454089	-0.0888244114	-0.368285478	-2.7789132	0.123513664	2.41062772	0	0	0	0	0	3
10	111	0	0.114948988	0.002208253	-0.331236105	-2.7789132	0.123513664	2.44767709	0	0	0	0	0	3
11	118	0	0.126443887	-0.0874080154	-0.309069915	-2.7789132	0.123513664	2.46984328	0	0	0	0	0	3
12	126	0	0.137938786	-0.0967572582	-0.291377193	-2.7789132	0.123513664	2.487536	0	0	0	0	0	3
13	134	0	0.149433685	-0.136553789	-0.279467701	-2.7789132	0.123513664	2.4994455	0	0	0	0	0	3
14	141	0	0.160928584	-0.129089315	-0.268726388	-2.7789132	0.123513664	2.51018681	0	0	0	0	0	3
15	147	0	0.172423482	-0.152819956	-0.260999292	-2.7789132	0.123513664	2.5179139	0	0	0	0	0	3
16	154	0	0.183918381	-0.172401352	-0.255461921	-2.7789132	0.123513664	2.52345128	0	0	0	0	0	3
17	161	0	0.19541328	-0.194446196	-0.251872761	-2.7789132	0.123513664	2.52704044	0	0	0	0	0	3
18	167	0	0.206908179	-0.197001742	-0.248824371	-2.7789132	0.123513664	2.53008883	0	0	0	0	0	3
19	174	0	0.218403078	-0.195293158	-0.246006938	-2.7789132	0.123513664	2.53290626	0	0	0	0	0	3
20	180	0	0.229897977	-0.188999963	-0.24315659	-2.7789132	0.123513664	2.53575661	0	0	0	0	0	3
21	187	0	0.241392875	-0.181270095	-0.240209614	-2.7789132	0.123513664	2.53870358	0	0	0	0	0	3
22	193	0	0.252887774	-0.15354799	-0.236270449	-2.7789132	0.123513664	2.54264275	0	0	0	0	0	3
23	199	0	0.264382673	-0.114372105	-0.230970521	-2.7789132	0.123513664	2.54794268	0	0	0	0	0	3
24	206	0	0.275877572	-0.0732871176	-0.224400379	-2.7789132	0.123513664	2.55451282	0	0	0	0	0	3
25	212	0	0.287372471	-0.031372643	-0.21667927	-2.7789132	0.123513664	2.56223393	0	0	0	0	0	3
26	220	0	0.29886737	0.00676978747	-0.208085075	-2.7789132	0.123513664	2.57082812	0	0	0	0	0	3
27	228	0	0.310362268	0.0453865416	-0.198697238	-2.7789132	0.123513664	2.58021596	0	0	0	0	0	3
28	234	0	0.321857167	0.0745398557	-0.18893877	-2.7789132	0.123513664	2.58997443	0	0	0	0	0	3
29	240	0	0.333352066	0.101711282	-0.178916354	-2.7789132	0.123513664	2.59999684	0	0	0	0	0	3
30	246	0	0.344846965	0.114962554	-0.169120391	-2.7789132	0.123513664	2.60979281	0	0	0	0	0	3
31	253	0	0.356341864	0.126353409	-0.159588978	-2.7789132	0.126353409	2.61932422	0	0	0	0	0	3
32	259	0	0.367836763	0.117411632	-0.150932709	-2.7789132	0.126353409	2.62798049	0	0	0	0	0	3
33	265	0	0.379331661	0.107975267	-0.143087013	-2.7789132	0.126353409	2.63582618	0	0	0	0	0	3
34	271	0	0.39082656	0.102004973	-0.135878425	-2.7789132	0.126353409	2.64303477	0	0	0	0	0	3
35	277	0	0.402321459	0.0946159392	-0.129292871	-2.7789132	0.126353409	2.64962033	0	0	0	0	0	3
36	282	0	0.413816358	0.102063053	-0.122866318	-2.7789132	0.126353409	2.65604688	0	0	0	0	0	3
37	288	0	0.425311257	0.106121807	-0.11667745	-2.7789132	0.126353409	2.66223575	0	0	0	0	0	3
38	294	0	0.436806156	0.115535385	-0.110566586	-2.7789132	0.126353409	2.66834661	0	0	0	0	0	3
39	300	0	0.448301054	0.11828944	-0.104698482	-2.7789132	0.126353409	2.67421471	0	0	0	0	0	3
40	305	0	0.459795953	0.124479031	-0.0989690447	-2.7789132	0.126353409	2.67994415	0	0	0	0	0	3
41	311	0	0.471290852	0.12097358	-0.0936045904	-2.7789132	0.126353409	2.68530861	0	0	0	0	0	3
42	317	0	0.482785751	0.125097264	-0.0883974034	-2.7789132	0.126353409	2.69051579	0	0	0	0	0	3
43	323	0	0.49428065	0.12574366	-0.0834173786	-2.7789132	0.126353409	2.69549582	0	0	0	0	0	3
44	328	0	0.505775548	0.119779591	-0.0787992657	-2.7789132	0.126353409	2.70011393	0	0	0	0	0	3
45	334	0	0.517270447	0.105736843	-0.0132390375	-0.207091618	0.126353409	0.333445027	0	0	0	0	0	3
46	340	0	0.528765346	0.0963224566	-0.00779719287	-0.207091618	0.126353409	0.333445027	0	0	0	0	0	3
