Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	21	0	0.0116980678	193.766789	193.766789	193.766789	193.766789	0	0	0	0	0	0	3
2	27	0	0.0233961356	32.9179492	113.342369	32.9179492	193.766789	80.4244201	0	0	0	0	0	3
3	36	0	0.0350942034	17.4989996	81.3945794	17.4989996	193.766789	112.37221	0	0	0	0	0	3
4	47	0	0.0467922712	8.18229322	63.0915079	8.18229322	193.766789	130.675282	0	0	0	0	0	3
5	58	0	0.058490339	10.5269228	52.5785908	8.18229322	193.766789	141.188199	0	0	0	0	0	3
6	64	0	0.0701884068	7.93318341	45.1376896	7.93318341	193.766789	148.6291	0	0	0	0	0	3
7	71	0	0.0818864747	9.00567319	39.975973	7.93318341	193.766789	153.790816	0	0	0	0	0	3
8	77	0	0.0935845425	7.8538406	35.9607064	7.8538406	193.766789	157.806083	0	0	0	0	0	3
9	82	0	0.10528261	8.34302859	32.8920756	7.8538406	193.766789	160.874714	0	0	0	0	0	3
10	88	0	0.116980678	7.652581	30.3681261	7.652581	193.766789	163.398663	0	0	0	0	0	3
11	93	0	0.128678746	7.77748577	28.3144315	7.652581	193.766789	165.452358	0	0	0	0	0	3
12	99	0	0.140376814	7.4725892	26.5776113	7.4725892	193.766789	167.189178	0	0	0	0	0	3
13	105	0	0.152074882	7.45964589	25.1069986	7.45964589	193.766789	168.659791	0	0	0	0	0	3
14	111	0	0.163772949	7.31735489	23.8363098	7.31735489	193.766789	169.93048	0	0	0	0	0	3
15	116	0	0.175471017	7.2892977	22.7331756	7.2892977	193.766789	171.033614	0	0	0	0	0	3
16	122	0	0.187169085	7.14642382	21.7590036	7.14642382	193.766789	172.007786	0	0	0	0	0	3
17	127	0	0.198867153	7.03577699	20.8929315	7.03577699	193.766789	172.873858	0	0	0	0	0	3
18	133	0	0.210565221	6.91335894	20.1162886	6.91335894	193.766789	173.650501	0	0	0	0	0	3
19	138	0	0.222263288	6.82807066	19.4169087	6.82807066	193.766789	174.349881	0	0	0	0	0	3
20	144	0	0.233961356	6.71303166	18.7817148	6.71303166	193.766789	174.985075	0	0	0	0	0	3
21	149	0	0.245659424	6.5663111	18.2000289	6.5663111	193.766789	175.56676	0	0	0	0	0	3
22	155	0	0.257357492	6.38222004	17.6628558	6.38222004	193.766789	176.103934	0	0	0	0	0	3
23	161	0	0.26905556	6.21448558	17.1651006	6.21448558	193.766789	176.601689	0	0	0	0	0	3
24	166	0	0.280753627	6.0864266	16.7034892	6.0864266	193.766789	177.0633	0	0	0	0	0	3
25	172	0	0.292451695	5.97141007	16.274206	5.97141007	193.766789	177.492583	0	0	0	0	0	3
26	177	0	0.304149763	5.85415014	15.8734346	5.85415014	193.766789	177.893355	0	0	0	0	0	3
27	183	0	0.315847831	5.69075941	15.4962985	5.69075941	193.766789	178.270491	0	0	0	0	0	3
28	188	0	0.327545899	5.56166437	15.1414901	5.56166437	193.766789	178.625299	0	0	0	0	0	3
29	194	0	0.339243966	5.47088656	14.808021	5.47088656	193.766789	178.958768	0	0	0	0	0	3
30	199	0	0.350942034	5.40090598	14.4944505	5.40090598	193.766789	179.272339	0	0	0	0	0	3
31	205	0	0.362640102	5.32423125	14.198637	5.32423125	193.766789	179.568152	0	0	0	0	0	3
32	211	0	0.37433817	5.24603305	13.9188681	5.24603305	193.766789	179.847921	0	0	0	0	0	3
33	216	0	0.386036238	5.18197747	13.6541139	5.18197747	193.766789	180.112675	0	0	0	0	0	3
34	222	0	0.397734305	5.13517826	13.403557	5.13517826	193.766789	180.363232	0	0	0	0	0	3
35	228	0	0.409432373	5.09355607	13.1661284	5.09355607	193.766789	180.600661	0	0	0	0	0	3
36	233	0	0.421130441	5.05199782	12.9407358	5.05199782	193.766789	180.826054	0	0	0	0	0	3
37	239	0	0.432828509	4.990484	12.7258642	4.990484	193.766789	181.040925	0	0	0	0	0	3
38	244	0	0.444526577	4.93694074	12.5208925	4.93694074	193.766789	181.245897	0	0	0	0	0	3
39	250	0	0.456224645	4.88461232	12.3250904	4.88461232	193.766789	181.441699	0	0	0	0	0	3
40	256	0	0.467922712	4.83873639	12.1379316	4.83873639	193.766789	181.628858	0	0	0	0	0	3
41	262	0	0.47962078	4.79784744	11.9589051	4.79784744	193.766789	181.807884	0	0	0	0	0	3
42	267	0	0.491318848	4.75505556	11.7873849	4.75505556	193.766789	181.979404	0	0	0	0	0	3
43	273	0	0.503016916	4.7166332	11.6229488	4.7166332	193.766789	182.143841	0	0	0	0	0	3
44	279	0	0.514714984	4.67820391	7.22553987	4.67820391	32.9179492	28.2397453	0	0	0	0	0	3
45	284	0	0.526413051	4.64728844	6.56808264	4.64728844	17.4989996	12.8517111	0	0	0	0	0	3
46	290	0	0.538111119	4.61434779	6.26843958	4.61434779	10.5269228	5.91257497	0	0	0	0	0	3
47	296	0	0.549809187	4.59182393	6.18494029	4.59182393	10.5269228	5.93509883	0	0	0	0	0	3
48	301	0	0.561507255	4.56966698	6.04639946	4.56966698	9.00567319	4.43600621	0	0	0	0	0	3
49	307	0	0.573205323	4.55242232	5.96777711	4.55242232	9.00567319	4.45325087	0	0	0	0	0	3
50	313	0	0.58490339	4.53532469	5.86381552	4.53532469	8.34302859	3.8077039	0	0	0	0	0	3
51	318	0	0.596601458	4.52234317	5.78633883	4.52234317	8.34302859	3.82068542	0	0	0	0	0	3
52	324	0	0.608299526	4.50814068	5.69715539	4.50814068	7.77748577	3.26934509	0	0	0	0	0	3
53	330	0	0.619997594	4.4990365	5.62381715	4.4990365	7.77748577	3.27844927	0	0	0	0	0	3
54	336	0	0.631695662	4.4834009	5.54721052	4.4834009	7.4725892	2.9891883	0	0	0	0	0	3
55	341	0	0.643393729	4.47149573	5.47741765	4.47149573	7.45964589	2.98815016	0	0	0	0	0	3
56	347	0	0.655091797	4.46042158	5.40766825	4.46042158	7.31735489	2.8569333	0	0	0	0	0	3
57	353	0	0.666789865	4.45066135	5.34100096	4.45066135	7.2892977	2.83863634	0	0	0	0	0	3
58	358	0	0.678487933	4.43834521	5.27469974	4.43834521	7.14642382	2.70807861	0	0	0	0	0	3
59	364	0	0.690186001	4.43030983	5.21153429	4.43030983	7.03577699	2.60546716	0	0	0	0	0	3
60	370	0	0.701884068	4.41884649	5.15067545	4.41884649	6.91335894	2.49451245	0	0	0	0	0	3
61	375	0	0.713582136	4.41011962	5.09246058	4.41011962	6.82807066	2.41795104	0	0	0	0	0	3
62	381	0	0.725280204	4.399561	5.03598361	4.399561	6.71303166	2.31347066	0	0	0	0	0	3
63	386	0	0.736978272	4.39250681	4.98201791	4.39250681	6.5663111	2.17380429	0	0	0	0	0	3
64	392	0	0.74867634	4.38198963	4.93121974	4.38198963	6.38222004	2.00023041	0	0	0	0	0	3
65	397	0	0.760374408	4.37332041	4.88450115	4.37332041	6.21448558	1.84116517	0	0	0	0	0	3
66	403	0	0.772072475	4.36253839	4.84143261	4.36253839	6.0864266	1.72388822	0	0	0	0	0	3
67	408	0	0.783770543	4.35412432	4.80114651	4.35412432	5.97141007	1.61728575	0	0	0	0	0	3
68	414	0	0.795468611	4.34250334	4.76326495	4.34250334	5.85415014	1.51164681	0	0	0	0	0	3
69	419	0	0.807166679	4.33234618	4.72787416	4.33234618	5.69075941	1.35841323	0	0	0	0	0	3
70	425	0	0.818864747	4.32069849	4.69601228	4.32069849	5.56166437	1.24096588	0	0	0	0	0	3
71	431	0	0.830562814	4.31043702	4.66691397	4.31043702	5.47088656	1.16044954	0	0	0	0	0	3
72	436	0	0.842260882	4.29681394	4.63960996	4.29681394	5.40090598	1.10409204	0	0	0	0	0	3
73	442	0	0.85395895	4.28678276	4.61370012	4.28678276	5.32423125	1.03744849	0	0	0	0	0	3
74	447	0	0.865657018	4.2749351	4.58929788	4.2749351	5.24603305	0.971097947	0	0	0	0	0	3
75	453	0	0.877355086	4.26361803	4.56645102	4.26361803	5.18197747	0.91835944	0	0	0	0	0	3
76	458	0	0.889053153	4.24952824	4.54476615	4.24952824	5.13517826	0.885650016	0	0	0	0	0	3
77	464	0	0.900751221	4.23633449	4.52386281	4.23633449	5.09355607	0.857221581	0	0	0	0	0	3
78	470	0	0.912449289	4.21965542	4.50353954	4.21965542	5.05199782	0.832342399	0	0	0	0	0	3
79	475	0	0.924147357	4.20679716	4.48388371	4.20679716	4.990484	0.783686837	0	0	0	0	0	3
80	481	0	0.935845425	4.18882007	4.46524036	4.18882007	4.93694074	0.748120678	0	0	0	0	0	3
81	487	0	0.947543492	4.17634918	4.44755219	4.17634918	4.88461232	0.708263138	0	0	0	0	0	3
82	492	0	0.95924156	4.15670918	4.43062421	4.15670918	4.83873639	0.682027209	0	0	0	0	0	3
83	498	0	0.970939628	4.14118282	4.41440203	4.14118282	4.79784744	0.656664618	0	0	0	0	0	3
84	504	0	0.982637696	4.12110035	4.39866373	4.12110035	4.75505556	0.633955211	0	0	0	0	0	3
85	509	0	0.994335764	4.10655126	4.38358223	4.10655126	4.7166332	0.610081941	0	0	0	0	0	3
86	515	0	1.00603383	4.08771566	4.36895624	4.08771566	4.67820391	0.590488253	0.402338517	68.1	0	0	0	3
87	520	0	1.0177319	4.07115025	4.35483871	4.07115025	4.64728844	0.576138192	0.40283548	69.9	0	0	0	3
88	526	0	1.02942997	4.05080012	4.34096689	4.05080012	4.61434779	0.56354767	0.403140732	71.5	0	0	0	3
89	532	0	1.04112803	4.0349908	4.32749347	4.0349908	4.59182393	0.556833124	0.402338517	72.2	0	0	0	3
90	537	0	1.0528261	4.01500274	4.31407903	4.01500274	4.56966698	0.554664235	0.402338517	72.5	0	0	0	3
91	543	0	1.06452417	3.99855632	4.30079738	3.99855632	4.55242232	0.553865995	0.402338517	72.6	0	0	0	3
92	549	0	1.07622224	3.97968386	4.28747789	3.97968386	4.53532469	0.555640825	0.402338517	72.4	0	0	0	3
93	554	0	1.08792031	3.96769704	4.27427724	3.96769704	4.52234317	0.554646124	0.402338517	72.5	0	0	0	3
94	560	0	1.09961837	3.94948017	4.26095485	3.94948017	4.50814068	0.558660507	0.402338517	72	0	0	0	3
95	565	0	1.11131644	3.93750857	4.24768433	3.93750857	4.4990365	0.561527926	0.402338517	71.6	0	0	0	3
96	571	0	1.12301451	3.92204675	4.23426597	3.92204675	4.4834009	0.561354151	0.402338517	71.6	0	0	0	3
97	577	0	1.13471258	3.91440537	4.22103351	3.91440537	4.47149573	0.557090361	0.402338517	72.2	0	0	0	3
98	582	0	1.14641065	3.90013374	4.20774602	3.90013374	4.46042158	0.560287844	0.402338517	71.8	0	0	0	3
99	588	0	1.15810871	3.8925243	4.19453911	3.8925243	4.45066135	0.558137057	0.402338517	72	0	0	0	3
100	594	0	1.16980678	3.87969552	4.18126084	3.87969552	4.43834521	0.558649695	0.402338517	72	0	0	0	3
101	601	0	1.18150485	3.87572379	4.16817662	3.87572379	4.43030983	0.554586033	0.402338517	72.5	0	0	0	3
102	606	0	1.19320292	3.86690148	4.1550741	3.86690148	4.41884649	0.551945014	0.402338517	72.8	0	0	0	3
103	612	0	1.20490098	3.86557136	4.14220723	3.86557136	4.41011962	0.54454826	0.402338517	73.8	0	0	0	3
104	618	0	1.21659905	3.8610934	4.12943918	3.8610934	4.399561	0.538467606	0.402338517	74.7	0	0	0	3
105	624	0	1.22829712	3.86049954	4.11690287	3.86049954	4.39250681	0.532007276	0.402338517	75.6	0	0	0	3
106	629	0	1.23999519	3.85710953	4.10445177	3.85710953	4.38198963	0.524880094	0.402338517	76.6	0	0	0	3
107	635	0	1.25169326	3.85930506	4.09229631	3.85710953	4.37332041	0.516210875	0.402338517	77.9	0	0	0	3
108	640	0	1.26339132	3.85676774	4.08028346	3.85676774	4.36253839	0.505770648	0.402338517	79.5	0	0	0	3
109	646	0	1.27508939	3.86015038	4.06860002	3.85676774	4.35412432	0.497356585	0.402338517	80.8	0	0	0	3
110	652	0	1.28678746	3.85896749	4.05708474	3.85676774	4.34250334	0.485735597	0.402338517	82.8	0	0	0	3
111	657	0	1.29848553	3.86222374	4.04591545	3.85676774	4.33234618	0.475578441	0.402338517	84.5	0	0	0	3
112	663	0	1.31018359	3.86036537	4.03493915	3.85676774	4.32069849	0.463930747	0.402338517	86.7	0	0	0	3
113	669	0	1.32188166	3.86198933	4.0242715	3.85676774	4.31043702	0.453669284	0.402338517	88.6	0	0	0	3
114	675	0	1.33357973	3.85958429	4.01378655	3.85676774	4.29681394	0.440046202	0.402338517	91.4	0	0	0	3
115	680	0	1.3452778	3.86151572	4.00366334	3.85676774	4.28678276	0.430015026	0.402338517	93.5	0	0	0	3
