Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.0114948988	101325.618	101325.618	101325.618	101325.618	0	0	0	10672.4	0	0	3
2	33	0	0.0229897977	101325.266	101325.442	101325.266	101325.618	0.176201847	0	0	12394.8	0	0	3
3	40	0	0.0344846965	101325.166	101325.35	101325.166	101325.618	0.26824592	0	0	10865.1	0	0	3
4	53	0	0.0459795953	101325.146	101325.299	101325.146	101325.618	0.319159311	0	0	5865.92	0	0	3
5	70	0	0.0574744941	101325.025	101325.244	101325.025	101325.618	0.373902747	0	0	3088.57	0	0	3
6	79	0	0.068969393	101325.058	101325.213	101325.025	101325.618	0.404912516	0	0	3238.66	0	0	3
7	88	0	0.0804642918	101325.021	101325.186	101325.021	101325.618	0.432447802	0	0	2717.99	0	0	3
8	96	0	0.0919591906	101325.052	101325.169	101325.021	101325.618	0.449146136	0	0	2437.94	0	0	3
9	104	0	0.103454089	101325.029	101325.154	101325.021	101325.618	0.464715167	0	0	2244.77	0	0	3
10	111	0	0.114948988	101325.054	101325.144	101325.021	101325.618	0.47472575	0	0	2077.65	0	0	3
11	118	0	0.126443887	101325.039	101325.134	101325.021	101325.618	0.484245333	0	0	2170.8	0	0	3
12	126	0	0.137938786	101325.05	101325.127	101325.021	101325.618	0.491255382	0	0	2107.03	0	0	3
13	134	0	0.149433685	101325.044	101325.121	101325.021	101325.618	0.497673442	0	0	1911.56	0	0	3
14	141	0	0.160928584	101325.049	101325.116	101325.021	101325.618	0.502814071	0	0	1863.6	0	0	3
15	147	0	0.172423482	101325.044	101325.111	101325.021	101325.618	0.507583319	0	0	1813.6	0	0	3
16	154	0	0.183918381	101325.045	101325.107	101325.021	101325.618	0.511717324	0	0	1775.86	0	0	3
17	161	0	0.19541328	101325.041	101325.103	101325.021	101325.618	0.515588516	0	0	1727.73	0	0	3
18	167	0	0.206908179	101325.039	101325.099	101325.021	101325.618	0.519108826	0	0	1669.45	0	0	3
19	174	0	0.218403078	101325.036	101325.096	101325.021	101325.618	0.522455387	0	0	1557.65	0	0	3
20	180	0	0.229897977	101325.033	101325.093	101325.021	101325.618	0.525600522	0	0	1486.13	0	0	3
21	187	0	0.241392875	101325.03	101325.09	101325.021	101325.618	0.528580995	0	0	1385.41	0	0	3
22	193	0	0.252887774	101325.027	101325.087	101325.021	101325.618	0.531444226	0	0	1320.51	0	0	3
23	199	0	0.264382673	101325.024	101325.084	101325.021	101325.618	0.534199459	0	0	1195.58	0	0	3
24	206	0	0.275877572	101325.02	101325.081	101325.02	101325.618	0.536855287	0	0	1145.47	0	0	3
25	212	0	0.287372471	101325.017	101325.079	101325.017	101325.618	0.539432889	0	0	1033.23	0	0	3
26	220	0	0.29886737	101325.015	101325.076	101325.015	101325.618	0.541893975	0	0	999.521	0	0	3
27	228	0	0.310362268	101325.01	101325.074	101325.01	101325.618	0.544337866	0	0	916.879	0	0	3
28	234	0	0.321857167	101325.007	101325.072	101325.007	101325.618	0.546720537	0	0	882.366	0	0	3
29	240	0	0.333352066	101325.004	101325.069	101325.004	101325.618	0.549068711	0	0	796.432	0	0	3
30	246	0	0.344846965	101325	101325.067	101325	101325.618	0.551369173	0	0	768.813	0	0	3
31	253	0	0.356341864	101324.998	101325.065	101324.998	101325.618	0.553590127	0	0	758.373	0	0	3
32	259	0	0.367836763	101324.996	101325.063	101324.996	101325.618	0.555752001	0	0	747.925	0	0	3
33	265	0	0.379331661	101324.993	101325.061	101324.993	101325.618	0.557852443	0	0	735.726	0	0	3
34	271	0	0.39082656	101324.992	101325.058	101324.992	101325.618	0.559876931	0	0	724.557	0	0	3
35	277	0	0.402321459	101324.99	101325.057	101324.99	101325.618	0.561828365	0	0	712.334	0	0	3
36	282	0	0.413816358	101324.99	101325.055	101324.99	101325.618	0.56368211	0	0	703.912	0	0	3
37	288	0	0.425311257	101324.989	101325.053	101324.989	101325.618	0.565458704	0	0	694.88	0	0	3
38	294	0	0.436806156	101324.988	101325.051	101324.988	101325.618	0.567165999	0	0	685.772	0	0	3
39	300	0	0.448301054	101324.987	101325.05	101324.987	101325.618	0.568806647	0	0	676.619	0	0	3
40	305	0	0.459795953	101324.987	101325.048	101324.987	101325.618	0.570381715	0	0	667.291	0	0	3
41	311	0	0.471290852	101324.986	101325.046	101324.986	101325.618	0.571882831	0	0	660.775	0	0	3
42	317	0	0.482785751	101324.986	101325.045	101324.986	101325.618	0.573313703	0	0	654.213	0	0	3
43	323	0	0.49428065	101324.986	101325.044	101324.986	101325.618	0.574679635	0	0	647.706	0	0	3
44	328	0	0.505775548	101324.986	101325.042	101324.986	101325.618	0.575983125	0	0	641.163	0	0	3
45	334	0	0.517270447	101324.986	101325.028	101324.986	101325.266	0.279789671	0	0	634.583	0	0	3
46	340	0	0.528765346	101324.986	101325.022	101324.986	101325.166	0.179859298	0	0	628.04	0	0	3
47	346	0	0.540260245	101324.986	101325.018	101324.986	101325.146	0.160293881	0	0	621.403	0	0	3
48	352	0	0.551755144	101324.986	101325.014	101324.986	101325.058	0.0722320036	0	0	615.07	0	0	3
49	357	0	0.563250043	101324.986	101325.013	101324.986	101325.058	0.0722579534	0	0	608.398	0	0	3
50	363	0	0.574744941	101324.986	101325.011	101324.986	101325.054	0.0674442597	0	0	602.027	0	0	3
51	369	0	0.58623984	101324.986	101325.011	101324.986	101325.054	0.0674442597	0	0	595.363	0	0	3
52	375	0	0.597734739	101324.986	101325.009	101324.986	101325.054	0.0674442597	0	0	588.946	0	0	3
53	380	0	0.609229638	101324.986	101325.008	101324.986	101325.054	0.0674442597	0	0	582.152	0	0	3
54	386	0	0.620724537	101324.986	101325.007	101324.986	101325.05	0.0638993347	0	0	575.485	0	0	3
55	392	0	0.632219436	101324.986	101325.005	101324.986	101325.05	0.0638993347	0	0	568.302	0	0	3
56	398	0	0.643714334	101324.986	101325.004	101324.986	101325.049	0.0626230105	0	0	552.728	0	0	3
57	403	0	0.655209233	101324.986	101325.003	101324.986	101325.049	0.0626230105	0	0	545.336	0	0	3
58	409	0	0.666704132	101324.986	101325.001	101324.986	101325.045	0.0585378615	0	0	528.647	0	0	3
59	415	0	0.678199031	101324.986	101325	101324.986	101325.045	0.0585378615	0	0	522.026	0	0	3
60	421	0	0.68969393	101324.986	101324.999	101324.986	101325.041	0.0547376717	0	0	505.324	0	0	3
61	427	0	0.701188829	101324.986	101324.997	101324.986	101325.039	0.0533111619	0	0	499.616	0	0	3
62	432	0	0.712683727	101324.986	101324.996	101324.986	101325.036	0.0495717846	0	0	483.164	0	0	3
63	438	0	0.724178626	101324.986	101324.995	101324.986	101325.033	0.0469071615	0	0	478.258	0	0	3
64	444	0	0.735673525	101324.986	101324.994	101324.986	101325.03	0.0440748025	0	0	461.266	0	0	3
65	450	0	0.747168424	101324.986	101324.993	101324.986	101325.027	0.0406931823	0	0	456.885	0	0	3
66	456	0	0.758663323	101324.986	101324.992	101324.986	101325.024	0.0374506747	0	0	439.612	0	0	3
67	461	0	0.770158222	101324.987	101324.991	101324.986	101325.02	0.0343259322	0	0	435.684	0	0	3
68	467	0	0.78165312	101324.987	101324.99	101324.986	101325.017	0.0309699197	0	0	418.532	0	0	3
69	473	0	0.793148019	101324.987	101324.99	101324.986	101325.015	0.0288441453	0	0	417.795	0	0	3
70	479	0	0.804642918	101324.987	101324.989	101324.986	101325.01	0.0243862424	0	0	405.337	0	0	3
71	485	0	0.816137817	101324.987	101324.989	101324.986	101325.007	0.0212125911	0	0	405.357	0	0	3
72	491	0	0.827632716	101324.987	101324.988	101324.986	101325.004	0.0174476955	0	0	391.444	0	0	3
73	496	0	0.839127615	101324.987	101324.988	101324.986	101325	0.0141826668	0	0	389.756	0	0	3
74	502	0	0.850622513	101324.987	101324.987	101324.986	101324.998	0.0120465124	0	0	375.092	0	0	3
75	508	0	0.862117412	101324.987	101324.987	101324.986	101324.996	0.009495167	0	0	372.057	0	0	3
76	514	0	0.873612311	101324.988	101324.987	101324.986	101324.993	0.00719869896	0	0	357.044	0	0	3
77	520	0	0.88510721	101324.988	101324.987	101324.986	101324.992	0.00558020476	0	0	353.354	0	0	3
78	526	0	0.896602109	101324.988	101324.987	101324.986	101324.99	0.00408813034	0	0	338.689	0	0	3
79	532	0	0.908097008	101324.988	101324.987	101324.986	101324.99	0.00370210668	0	0	334.606	0	0	3
80	537	0	0.919591906	101324.988	101324.987	101324.986	101324.989	0.00284917236	0	0	320.515	0	0	3
81	543	0	0.931086805	101324.988	101324.987	101324.986	101324.988	0.00222293902	0	0	316.307	0	0	3
82	549	0	0.942581704	101324.988	101324.987	101324.986	101324.988	0.00223587314	0	0	303.017	0	0	3
83	555	0	0.954076603	101324.988	101324.987	101324.986	101324.988	0.00226384887	0	0	299.27	0	0	3
84	561	0	0.965571502	101324.988	101324.987	101324.986	101324.988	0.00226384887	0	0	287.459	0	0	3
85	567	0	0.9770664	101324.988	101324.987	101324.986	101324.988	0.00226384887	0	0	283.896	0	0	3
86	572	0	0.988561299	101324.988	101324.987	101324.986	101324.988	0.00226384887	0	0	273.557	0	0	3
87	578	0	1.0000562	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	271.508	0	0	3
88	584	0	1.0115511	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	262.31	0	0	3
89	590	0	1.023046	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	260.431	0	0	3
90	596	0	1.03454089	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	258.307	0	0	3
91	601	0	1.04603579	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	258.629	0	0	3
92	607	0	1.05753069	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	257.336	0	0	3
93	613	0	1.06902559	101324.988	101324.987	101324.986	101324.988	0.00226384887	0.00539793582	0	257.665	0	0	3
94	619	0	1.08052049	101324.988	101324.987	101324.986	101324.988	0.00225369012	0.00539793582	0	256.354	0	0	3
95	625	0	1.09201539	101324.988	101324.987	101324.986	101324.988	0.00225152579	0.00539793582	0	256.713	0	0	3
96	631	0	1.10351029	101324.987	101324.987	101324.986	101324.988	0.00225152579	0.00539793582	0	255.546	0	0	3
97	637	0	1.11500519	101324.987	101324.987	101324.986	101324.988	0.00224692897	0.00539793582	0	255.724	0	0	3
98	642	0	1.12650009	101324.987	101324.987	101324.986	101324.988	0.00222582565	0.00539793582	0	254.075	0	0	3
99	648	0	1.13799498	101324.987	101324.987	101324.986	101324.988	0.00221064028	0.00539793582	0	254.169	0	0	3
100	654	0	1.14948988	101324.987	101324.987	101324.986	101324.988	0.00221064028	0.00539793582	0	252.726	0	0	3
101	661	0	1.16098478	101324.987	101324.987	101324.986	101324.988	0.00221064028	0.00539793582	0	252.777	0	0	3
102	667	0	1.17247968	101324.987	101324.987	101324.986	101324.988	0.00204440994	0.00539793582	0	251.502	0	0	3
103	673	0	1.18397458	101324.987	101324.987	101324.986	101324.988	0.00200259475	0.00539793582	0	251.482	0	0	3
104	679	0	1.19546948	101324.987	101324.987	101324.986	101324.988	0.00198406943	0.00539793582	0	250.261	0	0	3
105	685	0	1.20696438	101324.987	101324.987	101324.986	101324.988	0.00195231121	0.00539793582	0	250.33	0	0	3
106	691	0	1.21845928	101324.987	101324.987	101324.986	101324.988	0.00195231121	0.00539793582	0	249.173	0	0	3
107	697	0	1.22995417	101324.987	101324.987	101324.986	101324.988	0.00195231121	0.00539793582	0	249.304	0	0	3
108	703	0	1.24144907	101324.987	101324.988	101324.986	101324.988	0.00194499368	0.00539793582	0	248.19	0	0	3
109	709	0	1.25294397	101324.987	101324.988	101324.986	101324.988	0.00194499368	0.00539793582	0	248.366	0	0	3
110	714	0	1.26443887	101324.987	101324.988	101324.987	101324.988	0.00181099286	0.00539793582	0	247.31	0	0	3
111	720	0	1.27593377	101324.987	101324.988	101324.987	101324.988	0.00178815349	0.00539793582	0	247.794	0	0	3
112	726	0	1.28742867	101324.987	101324.988	101324.987	101324.988	0.0017043242	0.00539793582	0	246.835	0	0	3
113	732	0	1.29892357	101324.987	101324.988	101324.987	101324.988	0.0017043242	0.00539793582	0	247.169	0	0	3
114	738	0	1.31041847	101324.987	101324.988	101324.987	101324.988	0.00159468762	0.00539793582	0	246.059	0	0	3
115	744	0	1.32191337	101324.987	101324.988	101324.987	101324.988	0.00140926255	0.00539793582	0	246.228	0	0	3
116	750	0	1.33340826	101324.987	101324.988	101324.987	101324.988	0.00103233277	0.00539793582	0	244.724	0	0	3
117	756	0	1.34490316	101324.987	101324.988	101324.987	101324.988	0.000957171666	0.00539793582	0	244.513	0	0	3
118	762	0	1.35639806	101324.987	101324.988	101324.987	101324.988	0.000958682722	0.00539793582	0	241.804	0	0	3
119	768	0	1.36789296	101324.987	101324.988	101324.987	101324.988	0.000958682722	0.00539793582	0	241.171	0	0	3
120	774	0	1.37938786	101324.987	101324.988	101324.987	101324.988	0.000958682722	0.00539793582	0	237.59	0	0	3
121	780	0	1.39088276	101324.987	101324.988	101324.987	101324.988	0.000958682722	0.00539793582	0	236.794	0	0	3
