Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.087	14.14	26.72	147	70	8.91	
0.196	14.24	26.44	148	70.03	8.84	
0.304	14.31	25.94	149	70.06	8.63	
0.412	14.45	26.03	150	70.03	8.78	
0.521	15.02	25.72	156	69.94	9	
0.63	14.89	25.22	155	70.06	8.63	
0.735	14.89	25.22	155	70.06	8.63	
0.834	16.77	23.06	175	69.97	8.63	
0.943	16.82	22.66	175	70.03	8.44	
1.053	16.69	22.59	174	70.06	8.34	
1.161	16.69	22.47	174	70.06	8.31	
1.269	16.96	22.5	177	70.03	8.44	
1.378	16.98	22.44	177	70.03	8.44	
1.486	16.96	22.28	177	70.06	8.31	
1.595	17.23	22.09	179	70.03	8.38	
1.705	17.25	22.22	180	70	8.44	
1.813	17.27	22.19	180	70	8.44	
1.922	17.5	22.03	182	69.97	8.5	
2.031	17.55	21.81	183	70	8.38	
2.14	17.59	21.69	183	70	8.34	
2.249	17.84	21.59	186	69.97	8.47	
2.358	17.92	21.69	187	69.97	8.5	
2.466	17.9	21.44	186	70	8.34	
2.575	18.19	21.16	189	69.97	8.38	
2.684	18.24	21.22	190	69.97	8.47	
2.793	18.22	21.16	190	69.97	8.38	
2.902	18.51	21.25	193	69.91	8.56	
3.005	18.51	21.25	193	69.91	8.56	
3.087	19.45	19.91	203	69.94	8.28	
3.196	19.63	19.97	205	69.91	8.41	
3.305	19.59	19.97	204	69.94	8.38	
3.414	19.8	19.94	206	69.91	8.41	
3.523	19.83	20	207	69.91	8.47	
3.633	19.85	19.53	207	69.94	8.25	
3.741	20.04	19.5	209	69.94	8.31	
3.85	20.01	19.47	209	69.94	8.25	
3.959	20.2	19.38	211	69.91	8.34	
4.068	20.27	19.63	211	69.84	8.47	
4.176	20.27	19.47	211	69.91	8.38	
4.285	20.46	19.16	213	69.91	8.31	
4.394	20.5	18.97	214	69.94	8.25	
4.503	20.6	19.06	215	69.91	8.31	
4.612	20.75	19.09	216	69.84	8.38	
4.72	20.77	19	217	69.88	8.38	
4.829	20.95	19.09	218	69.84	8.47	
4.937	20.93	19.06	218	69.84	8.47	
5.046	21.12	18.53	220	69.91	8.28	
5.155	21.16	18.59	221	69.91	8.28	
5.264	21.14	18.63	220	69.88	8.31	
5.373	21.23	18.69	221	69.84	8.38	
5.482	21.29	18.59	222	69.91	8.31	
5.591	21.35	18.59	223	69.84	8.38	
5.7	21.48	18.5	224	69.84	8.38	
5.809	21.52	18.31	224	69.84	8.31	
5.919	21.67	18.16	226	69.91	8.25	
6.027	21.67	18.22	226	69.84	8.28	
6.135	21.87	18.13	228	69.84	8.31	
6.244	21.87	18.25	228	69.81	8.38	
6.353	21.9	18.16	228	69.84	8.34	
6.462	22.04	18.19	230	69.81	8.38	
6.57	22.04	18.06	230	69.81	8.31	
6.679	22.19	18.22	231	69.78	8.47	
6.788	22.21	17.75	232	69.84	8.22	
6.897	22.32	17.75	233	69.81	8.28	
7.005	22.42	17.69	234	69.81	8.25	
7.114	22.44	17.81	234	69.81	8.34	
7.223	22.52	17.81	235	69.81	8.31	
7.332	22.54	17.69	235	69.81	8.31	
7.441	22.65	17.81	236	69.78	8.41	
7.55	22.65	17.81	236	69.78	8.41	
7.658	22.79	17.72	238	69.78	8.44	
7.767	22.82	17.53	238	69.78	8.31	
7.876	22.9	17.34	239	69.81	8.25	
7.985	23.02	17.22	240	69.81	8.22	
8.093	23.05	17.41	240	69.78	8.34	
8.202	23.21	17.34	242	69.78	8.38	
8.311	23.17	17.22	242	69.78	8.28	
8.419	23.29	17.25	243	69.78	8.34	
8.528	23.29	17.06	243	69.81	8.25	
8.636	23.32	17.22	243	69.75	8.34	
8.745	23.4	17.25	244	69.75	8.38	
8.854	23.44	17.28	244	69.72	8.41	
8.963	23.53	16.91	245	69.81	8.22	
9.071	23.55	16.88	246	69.81	8.22	
9.181	23.74	16.88	248	69.78	8.28	
9.289	23.69	16.91	247	69.78	8.31	
9.399	23.88	16.72	249	69.78	8.25	
9.507	23.88	16.88	249	69.75	8.34	
9.616	23.97	16.81	250	69.72	8.34	
9.725	23.99	16.91	250	69.75	8.38	
9.834	24.05	16.91	251	69.72	8.41	
9.943	24.09	16.88	251	69.72	8.38	
10.052	24.11	16.72	251	69.75	8.34	
10.161	24.24	16.88	253	69.69	8.44	
10.27	24.18	16.41	252	69.78	8.16	
10.379	24.36	16.5	254	69.75	8.28	
10.487	24.26	16.53	253	69.75	8.25	
10.596	24.55	16.38	256	69.72	8.31	
10.705	24.41	16.47	255	69.72	8.28	
10.815	24.63	16.47	257	69.66	8.38	
10.924	24.59	16.41	256	69.72	8.28	
11.032	24.63	16.34	257	69.69	8.31	
11.141	24.68	16.5	257	69.66	8.38	
11.25	24.7	16.41	258	69.69	8.34	
11.358	24.8	16.28	259	69.69	8.31	
11.467	24.82	16.38	259	69.66	8.34	
11.575	24.93	16.09	260	69.72	8.22	
11.684	24.89	16.06	260	69.75	8.22	
11.792	25.03	16.06	261	69.72	8.22	
11.901	24.97	16.41	260	69.63	8.44	
12.01	25.13	15.97	262	69.72	8.25	
12.119	25.03	15.94	261	69.75	8.19	
12.228	25.22	16.06	263	69.69	8.31	
12.337	25.09	16.09	262	69.69	8.28	
12.446	25.28	15.94	264	69.66	8.25	
12.557	25.16	15.88	262	69.72	8.22	
12.665	25.34	15.94	264	69.66	8.28	
12.774	25.24	15.97	263	69.69	8.28	
12.883	25.39	16.03	265	69.63	8.34	
12.992	25.39	15.94	265	69.66	8.28	
13.1	25.51	15.94	266	69.63	8.34	
13.209	25.45	15.97	265	69.66	8.34	
13.317	25.53	15.94	266	69.63	8.34	
13.426	25.55	16.13	266	69.56	8.47	
13.535	25.53	16.06	266	69.59	8.41	
13.643	25.64	16.03	267	69.59	8.44	
13.752	25.56	15.94	267	69.63	8.34	
13.861	25.72	15.94	268	69.63	8.41	
13.97	25.66	15.94	268	69.63	8.38	
14.079	25.74	15.91	268	69.59	8.38	
14.188	25.7	15.53	268	69.69	8.16	
14.297	25.87	15.66	270	69.63	8.31	
14.406	25.72	15.56	268	69.66	8.19	
14.515	26	15.5	271	69.63	8.25	
14.624	25.83	15.47	269	69.66	8.19	
14.733	25.95	15.63	271	69.63	8.28	
14.842	25.96	15.63	271	69.63	8.25	
14.95	26.06	15.5	272	69.63	8.22	
15.059	26.04	15.5	272	69.59	8.25	
15.167	26.25	15.5	274	69.59	8.31	
15.276	26.18	15.47	273	69.59	8.28	
15.385	26.43	15.56	276	69.56	8.38	
15.495	26.39	15.5	275	69.56	8.38	
15.603	26.54	15.47	277	69.56	8.41	
