Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.074	3.27	11.75	34	75.16	0.97	
0.183	3.26	12.03	34	75.16	1	
0.293	3.5	12.25	36	75.13	1.06	
0.402	3.79	12.41	39	75.13	1.19	
0.511	4.18	12.63	43	75.06	1.28	
0.62	4.56	12.28	47	75.03	1.34	
0.73	4.73	12.84	49	75	1.44	
0.838	4.43	12.78	46	75.06	1.34	
0.95	4.37	12.81	45	75.03	1.38	
1.059	4.37	13.25	45	75.03	1.38	
1.169	4.35	13.69	45	75	1.44	
1.273	4.35	13.69	45	75	1.44	
1.357	5.86	19.31	61	74.47	2.88	
1.466	5.98	19.22	62	74.47	2.91	
1.574	6.07	19.09	63	74.47	2.88	
1.685	6.21	19.78	64	74.41	3.06	
1.794	6.29	19.5	65	74.44	3.06	
1.903	6.4	19.47	66	74.41	3.09	
2.013	6.55	18.97	68	74.44	3.06	
2.123	6.73	19.63	70	74.34	3.22	
2.232	6.9	18.97	72	74.34	3.19	
2.341	7.01	19.38	73	74.31	3.31	
2.451	7.11	19.41	74	74.31	3.31	
2.56	7.2	19.19	75	74.31	3.25	
2.67	7.32	19.31	76	74.28	3.34	
2.779	7.43	19.44	77	74.25	3.47	
2.889	7.59	19.06	79	74.28	3.44	
2.998	7.78	19	81	74.25	3.47	
3.107	7.93	21.5	82	73.97	4.13	
3.216	8.07	24.44	84	73.72	4.91	
3.325	8.22	24.41	85	73.72	5	
3.434	8.41	27.25	87	73.41	5.88	
3.544	8.64	27.72	90	73.31	6.09	
3.653	8.91	29.09	93	73.13	6.66	
3.763	9.12	30.41	95	72.91	7.19	
3.872	9.29	31.03	97	72.81	7.47	
3.981	9.48	31.03	99	72.78	7.59	
4.09	9.73	30.88	101	72.72	7.75	
4.199	10	31.25	104	72.63	7.97	
4.308	10.31	31.03	107	72.59	8.09	
4.417	10.5	30.88	109	72.56	8.16	
4.527	10.69	30.81	111	72.47	8.28	
4.636	10.88	30.91	113	72.44	8.41	
4.745	11.13	30.56	116	72.44	8.41	
4.854	11.42	30.56	119	72.38	8.56	
4.963	11.57	30.03	120	72.41	8.47	
5.072	11.73	30.03	122	72.34	8.56	
5.181	11.96	29.56	124	72.34	8.56	
5.291	12.25	29.16	127	72.31	8.53	
5.399	12.4	29.16	129	72.28	8.59	
5.508	12.53	28.75	130	72.31	8.5	
5.618	12.68	28.38	132	72.31	8.47	
5.727	12.95	28.28	135	72.28	8.59	
5.837	13.13	27.84	137	72.28	8.47	
5.947	13.24	27.88	138	72.28	8.53	
6.056	13.38	27.28	139	72.28	8.44	
6.166	13.7	27.31	143	72.22	8.63	
6.275	13.78	26.91	143	72.25	8.5	
6.384	13.91	26.63	145	72.28	8.44	
6.493	14.07	26.56	146	72.25	8.47	
6.602	14.31	26.13	149	72.25	8.44	
6.712	14.45	26.03	150	72.22	8.47	
6.821	14.52	25.69	151	72.28	8.34	
6.931	14.81	25.63	154	72.22	8.47	
7.04	14.98	25.31	156	72.25	8.41	
7.149	15.1	25.09	157	72.22	8.41	
7.258	15.23	24.88	159	72.25	8.38	
7.368	15.56	24.75	162	72.16	8.47	
7.478	15.64	24.47	163	72.22	8.38	
7.584	15.73	24.38	164	72.19	8.41	
7.693	15.95	24.31	166	72.16	8.5	
7.803	16.14	23.84	168	72.19	8.38	
7.911	16.15	23.84	168	72.19	8.38	
8.02	16.35	23.44	170	72.22	8.28	
8.131	16.57	23.44	173	72.19	8.38	
8.24	16.61	23.34	173	72.16	8.38	
8.35	16.73	23.03	174	72.19	8.31	
8.459	17	23.03	177	72.16	8.41	
8.57	17.04	22.66	177	72.19	8.22	
8.679	17.15	22.56	179	72.19	8.25	
8.788	17.42	22.59	181	72.13	8.41	
8.897	17.44	22.22	182	72.19	8.25	
9.005	17.52	22.13	182	72.19	8.22	
9.114	17.79	22.13	185	72.13	8.38	
9.223	17.79	22	185	72.16	8.25	
9.333	17.82	21.66	186	72.19	8.16	
9.442	18.09	21.66	188	72.13	8.31	
9.551	18.11	21.66	189	72.13	8.28	
9.66	18.17	21.25	189	72.19	8.09	
9.769	18.4	21.25	192	72.16	8.22	
9.878	18.36	21.16	191	72.16	8.22	
9.988	18.49	21.13	193	72.13	8.22	
10.098	18.63	20.84	194	72.16	8.09	
10.207	18.57	20.81	193	72.16	8.06	
10.316	18.74	20.72	195	72.16	8.13	
10.426	18.91	20.78	197	72.09	8.22	
10.536	18.84	20.78	196	72.13	8.22	
10.645	19.09	20.34	199	72.16	8.06	
10.76	19.13	20.41	199	72.13	8.09	
10.869	19.09	20.38	199	72.13	8.09	
10.978	19.34	20.38	201	72.09	8.22	
11.087	19.28	20.34	201	72.13	8.13	
11.197	19.39	20.06	202	72.13	8.06	
11.306	19.57	19.94	204	72.13	8.06	
11.416	19.55	19.88	204	72.13	8.03	
11.525	19.76	19.88	206	72.09	8.16	
11.634	19.82	20	207	72.06	8.22	
11.744	19.85	19.94	207	72.06	8.16	
11.853	20.01	19.94	209	72.03	8.22	
11.962	20.1	19.47	210	72.09	8.06	
12.072	20.08	19.44	209	72.09	8.03	
12.181	20.29	19.41	212	72.06	8.09	
12.291	20.29	19.47	212	72.06	8.09	
12.4	20.46	19.47	213	72.03	8.22	
12.509	20.56	19.47	214	72.03	8.22	
12.618	20.64	19.06	215	72.06	8.06	
12.727	20.79	19.06	217	72.06	8.09	
12.837	20.77	18.97	217	72.06	8.06	
12.946	20.98	19	219	72.03	8.16	
13.055	21	18.97	219	72.03	8.16	
13.164	21.02	19	219	72	8.16	
13.273	21.1	18.69	220	72.06	8	
13.383	21.12	18.56	220	72.06	8	
13.492	21.31	18.63	222	72.03	8.09	
13.602	21.33	18.59	222	72.03	8.06	
13.711	21.35	18.56	223	72	8.06	
13.82	21.5	18.59	224	72	8.13	
13.929	21.54	18.63	225	72	8.16	
14.039	21.67	18.63	226	71.94	8.25	
14.148	21.71	18.53	226	71.97	8.19	
14.258	21.83	18.13	228	72	8.03	
14.368	21.9	18.13	228	72	8.03	
14.478	21.94	18.16	229	72	8.09	
14.587	22.04	18.16	230	71.97	8.09	
14.695	22.06	18.13	230	71.97	8.09	
14.804	22.19	18.13	231	71.94	8.16	
14.913	22.19	18.13	231	71.94	8.16	
15.022	22.27	18.06	232	71.94	8.13	
15.13	22.27	17.75	232	72	8	
15.24	22.34	17.66	233	72	7.97	
15.348	22.48	17.78	234	71.97	8.06	
15.458	22.46	17.69	234	71.94	8.03	
15.566	22.59	17.69	236	71.94	8.09	
15.674	22.61	17.66	236	71.94	8.06	
15.783	22.67	17.66	236	71.94	8.06	
15.892	22.73	17.69	237	71.94	8.09	
16	22.79	17.66	238	71.91	8.09	
16.109	22.92	17.75	239	71.88	8.19	
16.218	22.92	17.34	239	71.94	8	
16.325	23.11	17.31	241	71.91	8.03	
16.434	23.13	17.28	241	71.91	8	
16.543	23.23	17.25	242	71.91	8.06	
16.652	23.27	17.25	243	71.91	8.06	
16.761	23.32	17.28	243	71.88	8.09	
16.869	23.42	17.31	244	71.88	8.13	
16.978	23.44	17.31	244	71.84	8.16	
17.086	23.63	17.31	246	71.81	8.22	
17.195	23.55	17.22	246	71.84	8.16	
17.304	23.74	17.28	248	71.81	8.25	
17.413	23.65	16.84	247	71.91	7.97	
17.523	23.8	16.72	248	71.91	8	
17.632	23.8	16.94	248	71.88	8.06	
17.74	23.86	16.81	249	71.84	8.06	
17.848	23.92	16.84	249	71.88	8.03	
17.958	23.93	16.75	250	71.88	8.03	
18.066	24.03	16.88	251	71.84	8.09	
18.175	23.99	16.75	250	71.88	8.03	
18.284	24.18	16.94	252	71.78	8.22	
18.392	24.11	16.84	251	71.81	8.09	
18.501	24.3	16.78	253	71.78	8.16	
18.61	24.24	16.81	253	71.78	8.16	
18.718	24.38	16.81	254	71.78	8.22	
18.827	24.38	16.91	254	71.75	8.25	
18.936	24.47	16.53	255	71.81	8.09	
19.044	24.49	16.41	255	71.81	8	
19.153	24.49	16.41	255	71.81	8.03	
19.262	24.63	16.38	257	71.81	8.06	
19.37	24.59	16.34	256	71.81	8	
19.48	24.8	16.41	259	71.78	8.09	
19.589	24.61	16.41	257	71.81	8.06	
19.699	24.88	16.38	259	71.78	8.13	
19.807	24.74	16.47	258	71.78	8.09	
19.916	24.93	16.47	260	71.75	8.19	
20.023	24.93	16.38	260	71.75	8.13	
20.132	25.14	16.41	262	71.72	8.25	
20.241	24.99	16.47	261	71.72	8.22	
20.349	25.24	16.41	263	71.69	8.25	
20.458	25.13	16.34	262	71.75	8.19	
20.567	25.2	16.09	263	71.78	8.06	
20.675	25.26	16.09	263	71.75	8.06	
20.784	25.32	15.94	264	71.75	8	
20.893	25.35	15.97	264	71.75	8.06	
21.001	25.35	15.94	264	71.75	8.03	
21.11	25.45	15.97	265	71.72	8.09	
21.219	25.37	15.97	265	71.75	8.03	
21.327	25.53	16.03	266	71.72	8.09	
21.436	25.49	15.94	266	71.72	8.09	
21.544	25.66	15.88	268	71.72	8.09	
21.652	25.6	15.88	267	71.72	8.09	
21.762	25.77	15.97	269	71.69	8.16	
21.87	25.7	15.91	268	71.72	8.09	
21.979	25.89	16	270	71.66	8.22	
22.087	25.77	15.94	269	71.66	8.13	
22.197	25.98	15.97	271	71.66	8.25	
22.305	25.95	15.72	271	71.72	8.09	
22.415	26.08	15.5	272	71.72	8	
22.524	26	15.53	271	71.72	8	
22.632	26.25	15.53	274	71.72	8.06	
22.741	26.02	15.47	271	71.72	7.97	
22.851	26.31	15.56	274	71.66	8.09	
22.96	26.2	15.5	273	71.69	8.03	
23.068	26.29	15.59	274	71.66	8.09	
23.177	26.25	15.5	274	71.69	8.06	
23.286	26.37	15.56	275	71.66	8.09	
23.394	26.18	15.5	273	71.69	8.03	
23.504	26.45	15.63	276	71.63	8.16	
23.612	26.25	15.5	274	71.66	8	
23.72	26.45	15.59	276	71.63	8.16	
23.829	26.35	15.41	275	71.66	8.06	
23.938	26.5	15.56	276	71.63	8.16	
24.047	26.35	15.47	275	71.66	8.06	
24.156	26.62	15.56	278	71.63	8.22	
24.264	26.46	15.5	276	71.63	8.13	
24.373	26.62	15.25	278	71.66	8.03	
24.483	26.54	15.16	277	71.69	7.94	
24.592	26.73	15.13	279	71.66	7.97	
24.701	26.6	15.47	277	71.59	8.16	
24.809	26.85	15.16	280	71.66	8	
24.918	26.71	15.47	279	71.59	8.19	
25.026	26.83	15.06	280	71.66	7.94	
25.135	26.71	15.5	279	71.56	8.19	
25.244	26.87	15.06	280	71.63	7.97	
25.352	26.91	15.03	281	71.63	8	
25.461	26.93	15.09	281	71.63	8	
25.57	26.85	15.25	280	71.59	8.09	
25.679	26.98	15.03	281	71.63	8	
25.788	26.75	15.47	279	71.53	8.19	
25.896	26.96	15.03	281	71.63	8	
26.005	26.89	15.41	280	71.53	8.19	
26.113	26.95	15.16	281	71.56	8.06	
26.222	27	15.09	282	71.59	8.06	
26.331	27.04	15.09	282	71.59	8.06	
26.44	27.02	15.03	282	71.59	8	
26.55	27.14	15.09	283	71.56	8.06	
26.659	27.1	15.09	283	71.53	8.09	
26.767	27.14	15.16	283	71.53	8.09	
26.876	27.21	15.03	284	71.53	8.09	
26.985	27.18	15.09	283	71.53	8.06	
27.093	27.25	15.13	284	71.53	8.13	
27.202	27.25	15.03	284	71.56	8.06	
27.311	27.29	15.03	285	71.5	8.09	
27.419	27.25	15.16	284	71.5	8.13	
27.528	27.4	15.09	286	71.47	8.16	
27.637	27.35	15.03	285	71.5	8.13	
27.745	27.54	15.03	287	71.5	8.16	
27.854	27.42	15.13	286	71.5	8.19	
27.963	27.52	15.09	287	71.47	8.22	
28.072	27.29	15.09	285	71.5	8.13	
28.18	27.5	15.13	287	71.47	8.25	
28.289	27.31	15.03	285	71.5	8.06	
28.398	27.56	15.06	287	71.47	8.22	
28.507	27.42	14.84	286	71.53	8.03	
28.615	27.46	14.75	286	71.56	8	
28.725	27.35	15	285	71.5	8.09	
28.833	27.54	14.69	287	71.53	7.94	
28.942	27.31	14.66	285	71.56	7.91	
29.051	27.61	14.88	288	71.47	8.16	
29.159	27.6	14.88	288	71.5	8.09	
29.268	27.58	14.66	288	71.53	7.97	
29.377	27.58	14.56	288	71.53	7.91	
29.488	27.65	14.94	288	71.44	8.16	
29.597	27.61	15.03	288	71.44	8.22	
29.706	27.67	15.03	289	71.44	8.22	
29.815	27.75	14.59	289	71.5	7.97	
29.924	27.71	14.81	289	71.47	8.09	
30.033	27.9	14.94	291	71.41	8.25	
30.142	27.73	14.94	289	71.44	8.16	
30.251	27.88	14.78	291	71.44	8.16	
30.359	27.73	14.66	289	71.47	8	
30.468	27.92	14.78	291	71.44	8.16	
30.578	27.77	14.66	290	71.47	8	
30.686	27.88	14.94	291	71.38	8.19	
30.795	27.79	14.69	290	71.47	8	
30.908	27.96	14.66	292	71.47	8.09	
31.018	27.8	14.59	290	71.47	8	
31.127	28	14.69	292	71.44	8.09	
31.236	27.88	14.53	291	71.47	8	
31.345	27.98	14.69	292	71.41	8.09	
31.455	28.13	14.94	293	71.34	8.31	
31.564	28.02	14.69	292	71.41	8.13	
31.672	28.23	14.72	294	71.38	8.22	
31.782	28.11	14.66	293	71.38	8.09	
31.891	28.23	14.66	294	71.38	8.16	
32	28.13	14.63	293	71.38	8.09	
32.108	28.27	14.69	295	71.38	8.16	
32.217	28.15	14.66	294	71.38	8.16	
32.326	28.3	14.63	295	71.38	8.16	
32.434	28.17	14.63	294	71.38	8.09	
32.544	28.36	14.63	296	71.34	8.16	
32.653	28.29	14.56	295	71.34	8.16	
32.761	28.38	14.63	296	71.34	8.16	
32.871	28.42	14.53	296	71.38	8.13	
32.98	28.38	14.63	296	71.34	8.16	
33.09	28.48	14.66	297	71.31	8.22	
33.198	28.4	14.66	296	71.34	8.19	
33.307	28.52	14.63	297	71.31	8.22	
33.417	28.34	14.31	296	71.41	7.97	
33.527	28.55	14.31	298	71.41	8.06	
33.635	28.38	14.25	296	71.41	7.94	
33.745	28.55	14.41	298	71.34	8.09	
33.854	28.5	14.47	297	71.34	8.13	
33.964	28.67	14.22	299	71.38	8	
34.072	28.57	14.47	298	71.34	8.16	
34.182	28.61	14.53	298	71.28	8.19	
34.291	28.75	14.56	300	71.28	8.25	
34.399	28.57	14.56	298	71.28	8.19	
34.508	28.75	14.66	300	71.25	8.31	
34.617	28.63	14.53	299	71.25	8.16	
34.725	28.69	14.31	299	71.34	8.06	
34.835	28.59	14.53	298	71.28	8.19	
34.944	28.73	14.31	300	71.34	8.06	
35.054	28.59	14.63	298	71.25	8.25	
35.164	28.71	14.22	299	71.34	8.03	
35.272	28.73	14.25	300	71.34	8.03	
35.381	28.71	14.28	299	71.31	8.06	
35.491	28.77	14.53	300	71.25	8.25	
35.599	28.75	14.56	300	71.22	8.25	
35.709	28.84	14.28	301	71.28	8.16	
35.818	28.71	14.53	299	71.25	8.22	
35.928	28.9	14.31	301	71.28	8.13	
