Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.106	9.08	25.47	94	70.53	5.88	
0.214	9.25	25.44	96	70.5	5.94	
0.323	9.45	25.66	98	70.44	6.09	
0.432	9.7	25.88	101	70.31	6.34	
0.541	9.79	25.97	102	70.34	6.34	
0.645	9.79	25.97	102	70.34	6.34	
0.75	14.01	26.53	146	69.19	8.78	
0.859	14.14	26.59	147	69.13	8.88	
0.968	14.41	26.25	150	69.13	8.84	
1.077	14.56	25.84	152	69.19	8.78	
1.186	14.66	25.63	153	69.19	8.75	
1.295	14.81	25.28	154	69.19	8.69	
1.403	15.12	25.19	157	69.13	8.81	
1.512	15.18	25.09	158	69.16	8.75	
1.62	15.25	24.72	159	69.19	8.66	
1.729	15.54	24.75	162	69.06	8.84	
1.837	15.64	24.34	163	69.13	8.69	
1.946	15.73	24.34	164	69.13	8.72	
2.05	15.73	24.34	164	69.13	8.72	
2.117	19.39	20.25	202	69	8.53	
2.226	19.61	20.25	204	68.97	8.56	
2.335	19.59	19.88	204	69.06	8.38	
2.444	19.83	20	207	68.97	8.53	
2.553	19.91	19.97	208	68.97	8.56	
2.662	19.91	19.91	208	68.97	8.56	
2.771	20.14	20	210	68.94	8.69	
2.878	20.12	19.59	210	69	8.41	
2.991	20.29	19.5	212	68.97	8.47	
3.1	20.43	19.5	213	68.94	8.53	
3.209	20.39	19.56	213	68.94	8.53	
3.316	20.6	19.59	215	68.91	8.66	
3.425	20.62	19.09	215	69	8.41	
3.534	20.71	19.03	216	68.97	8.41	
3.641	20.83	19.09	217	68.94	8.47	
3.749	20.79	19	217	68.97	8.41	
3.857	21	19.13	219	68.91	8.56	
3.965	21.02	19.13	219	68.91	8.53	
4.072	21.06	18.78	220	68.94	8.44	
4.181	21.16	18.56	221	68.97	8.31	
4.289	21.16	18.56	221	68.94	8.31	
4.397	21.37	18.63	223	68.91	8.47	
4.506	21.31	18.63	222	68.91	8.44	
4.615	21.43	18.53	223	68.91	8.44	
4.723	21.52	18.59	224	68.91	8.47	
4.831	21.54	18.59	225	68.91	8.47	
4.938	21.69	18.19	226	68.94	8.34	
5.047	21.75	18.16	227	68.94	8.38	
5.156	21.88	18.19	228	68.91	8.41	
5.264	21.94	18.09	229	68.91	8.38	
5.373	22	18.22	229	68.84	8.47	
5.482	22.11	18.19	231	68.84	8.47	
5.589	22.11	18	231	68.91	8.41	
5.698	22.4	17.91	234	68.84	8.47	
5.806	22.34	17.84	233	68.91	8.41	
5.914	22.46	17.75	234	68.88	8.38	
6.022	22.52	17.66	235	68.91	8.38	
6.13	22.46	17.69	234	68.88	8.38	
6.239	22.63	17.78	236	68.84	8.44	
6.346	22.59	17.84	236	68.81	8.47	
6.455	22.79	17.81	238	68.78	8.53	
6.562	22.8	17.59	238	68.84	8.44	
6.671	22.84	17.31	238	68.88	8.31	
6.779	22.92	17.25	239	68.91	8.28	
6.886	22.92	17.22	239	68.84	8.31	
6.995	23.05	17.34	240	68.84	8.38	
7.102	23	17.53	240	68.78	8.47	
7.21	23.19	17.34	242	68.78	8.44	
7.319	23.13	17.31	241	68.78	8.41	
7.427	23.25	17.22	242	68.78	8.41	
7.535	23.27	17.38	243	68.75	8.47	
7.644	23.29	17.34	243	68.75	8.47	
7.751	23.4	17.28	244	68.75	8.47	
7.859	23.34	17.38	243	68.72	8.5	
7.967	23.53	17.34	245	68.72	8.53	
8.076	23.5	17.13	245	68.75	8.41	
8.183	23.63	16.91	246	68.78	8.34	
8.29	23.67	16.84	247	68.81	8.31	
8.399	23.74	16.75	248	68.78	8.31	
8.508	23.72	16.84	247	68.78	8.31	
8.616	23.74	16.88	248	68.75	8.38	
8.724	23.86	16.88	249	68.75	8.38	
8.832	23.8	16.81	248	68.75	8.38	
8.941	23.99	16.88	250	68.72	8.44	
9.05	23.92	16.91	249	68.72	8.41	
9.157	24.11	16.91	251	68.69	8.47	
9.265	24.03	16.97	251	68.69	8.47	
9.374	24.18	16.91	252	68.66	8.56	
9.481	24.16	16.91	252	68.66	8.5	
9.589	24.24	16.63	253	68.69	8.41	
9.698	24.26	16.5	253	68.75	8.31	
9.803	24.26	16.5	253	68.75	8.31	
9.88	26.21	15.53	273	68.53	8.41	
9.988	26.25	15.63	274	68.5	8.5	
10.097	26.35	15.63	275	68.5	8.53	
10.205	26.39	15.59	275	68.5	8.5	
10.313	26.48	15.56	276	68.5	8.53	
10.422	26.43	15.59	276	68.5	8.5	
10.53	26.6	15.56	277	68.47	8.56	
10.637	26.54	15.22	277	68.56	8.31	
10.747	26.58	15.31	277	68.53	8.38	
