Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.057	8.03	2.03	83	73.97	0.25	
0.177	8.01	2.22	83	73.97	0.28	
0.298	7.91	2.44	82	73.94	0.31	
0.419	7.84	1.66	81	74	0.22	
0.54	7.72	2.56	80	73.91	0.31	
0.661	7.76	2.69	81	73.94	0.34	
0.771	7.76	2.69	81	73.94	0.34	
0.818	7.13	15.16	74	73.16	2.44	
0.937	7.18	15	75	73.16	2.44	
1.057	7.26	14.88	75	73.16	2.44	
1.178	7.32	15.25	76	73.13	2.53	
1.297	7.47	14.91	78	73.09	2.5	
1.417	7.59	15.16	79	73.06	2.59	
1.538	7.64	14.88	79	73.09	2.53	
1.657	7.68	14.84	80	73.06	2.53	
1.778	7.72	14.47	80	73.13	2.47	
1.898	7.82	14.53	81	73.13	2.5	
2.019	7.91	14.56	82	73.06	2.56	
2.139	8.07	15.09	84	73	2.72	
2.259	8.11	14.81	84	73.03	2.63	
2.38	8.16	14.53	85	73.03	2.59	
2.5	8.22	16.09	85	72.88	2.97	
2.621	8.36	18	87	72.69	3.44	
2.742	8.51	18.81	88	72.63	3.72	
2.862	8.64	19.09	90	72.56	3.81	
2.982	8.74	18.88	91	72.56	3.78	
3.102	8.81	19.13	92	72.53	3.88	
3.223	8.93	18	93	72.63	3.66	
3.344	9.06	17.84	94	72.59	3.66	
3.464	9.29	17.91	97	72.56	3.75	
3.585	9.29	17.69	97	72.59	3.69	
3.705	9.35	17.81	97	72.56	3.78	
3.825	9.41	17.53	98	72.59	3.69	
3.947	9.6	17.91	100	72.5	3.84	
4.067	9.77	16.88	102	72.59	3.66	
4.187	9.83	16.5	102	72.59	3.56	
4.309	9.91	17.91	103	72.47	3.94	
4.429	10.04	19.53	104	72.28	4.44	
4.55	10.14	20.47	105	72.13	4.75	
4.671	10.37	19.94	108	72.19	4.69	
4.792	10.43	20.16	108	72.13	4.78	
4.913	10.52	23.63	109	71.69	5.84	
5.034	10.65	24.63	111	71.59	6.22	
5.153	10.92	24.94	114	71.47	6.47	
5.275	11.04	24.38	115	71.5	6.34	
5.395	11.17	24.63	116	71.44	6.5	
5.515	11.29	24.38	117	71.44	6.47	
5.635	11.52	24.09	120	71.44	6.47	
5.754	11.67	23.94	121	71.44	6.5	
5.876	11.79	24.69	123	71.31	6.78	
5.997	11.88	23.59	124	71.41	6.44	
6.118	12.15	24.09	126	71.25	6.75	
6.241	12.3	25.28	128	71.09	7.22	
6.366	12.4	25.53	129	71.03	7.38	
6.486	12.53	25.81	130	70.94	7.56	
6.608	12.82	25.94	133	70.88	7.78	
6.728	12.95	26.56	135	70.78	8.03	
6.85	13.07	26.13	136	70.78	7.94	
6.97	13.28	26.38	138	70.66	8.16	
7.091	13.61	26.59	142	70.59	8.41	
7.212	13.7	26.09	143	70.63	8.25	
7.331	13.82	26.03	144	70.63	8.31	
7.452	14.11	26.09	147	70.53	8.47	
7.572	14.28	25.78	149	70.53	8.44	
7.692	14.31	25.66	149	70.53	8.41	
7.815	14.54	25.41	151	70.53	8.41	
7.935	14.75	25.38	154	70.5	8.47	
8.055	14.89	25.25	155	70.47	8.53	
8.177	15.02	24.75	156	70.5	8.38	
8.296	15.33	24.97	160	70.41	8.59	
8.418	15.37	24.44	160	70.5	8.38	
8.539	15.54	24.25	162	70.47	8.44	
8.659	15.79	24.5	164	70.38	8.63	
8.78	15.83	23.94	165	70.44	8.41	
8.9	15.95	23.88	166	70.41	8.47	
9.021	16.21	23.66	169	70.41	8.47	
9.142	16.29	23.41	170	70.41	8.41	
9.262	16.38	23.47	171	70.38	8.5	
9.384	16.65	23.09	173	70.41	8.44	
9.504	16.67	23.09	174	70.38	8.44	
9.625	16.82	23	175	70.34	8.53	
9.745	17.02	22.59	177	70.41	8.41	
9.864	17.02	22.63	177	70.38	8.38	
9.985	17.29	22.59	180	70.34	8.5	
10.107	17.4	22.19	181	70.38	8.38	
10.227	17.42	22.03	181	70.38	8.31	
10.35	17.69	22.22	184	70.31	8.53	
10.47	17.73	21.72	185	70.38	8.28	
10.59	17.77	21.81	185	70.34	8.34	
10.71	18.03	21.69	188	70.34	8.41	
10.831	18.03	21.25	188	70.38	8.22	
10.953	18.26	21.34	190	70.34	8.38	
11.073	18.34	21.25	191	70.34	8.34	
11.194	18.38	21.28	191	70.31	8.41	
11.313	18.66	20.91	194	70.34	8.31	
11.434	18.64	20.84	194	70.34	8.25	
11.555	18.76	20.81	195	70.31	8.34	
11.675	18.93	20.97	197	70.25	8.44	
11.796	18.95	20.34	197	70.38	8.19	
11.916	19.2	20.34	200	70.31	8.25	
12.043	19.22	20.5	200	70.28	8.34	
12.156	19.36	20.41	202	70.25	8.38	
12.276	19.45	19.94	203	70.34	8.19	
12.397	19.47	19.94	203	70.28	8.19	
12.519	19.7	20	205	70.25	8.31	
12.64	19.68	20.03	205	70.25	8.28	
12.759	19.83	19.88	207	70.25	8.31	
12.879	19.95	19.84	208	70.25	8.31	
12.999	19.95	19.47	208	70.28	8.16	
13.12	20.18	19.5	210	70.25	8.25	
13.241	20.12	19.47	210	70.25	8.22	
13.364	20.37	19.59	212	70.19	8.38	
13.486	20.35	19.56	212	70.22	8.31	
13.606	20.45	19.5	213	70.19	8.38	
13.727	20.56	19.06	214	70.25	8.16	
13.848	20.56	19.16	214	70.25	8.25	
13.969	20.7	19.09	216	70.22	8.28	
14.088	20.73	19.19	216	70.19	8.28	
14.208	20.93	19.16	218	70.19	8.38	
14.33	20.93	19.06	218	70.19	8.31	
14.45	21.12	18.69	220	70.22	8.22	
14.571	21.2	18.69	221	70.19	8.25	
14.694	21.27	18.53	222	70.22	8.22	
14.814	21.43	18.59	223	70.19	8.28	
14.935	21.41	18.66	223	70.16	8.31	
15.055	21.67	18.66	226	70.13	8.41	
15.174	21.64	18.56	226	70.13	8.31	
15.295	21.85	18.28	228	70.16	8.25	
15.408	21.81	18.22	227	70.19	8.22	
15.529	22	18.19	229	70.13	8.28	
15.65	21.98	18.25	229	70.13	8.28	
15.771	22.17	18.22	231	70.09	8.38	
15.892	22.21	18.25	232	70.09	8.38	
16.012	22.32	17.75	233	70.16	8.16	
16.132	22.44	17.75	234	70.13	8.22	
16.252	22.5	17.75	235	70.13	8.22	
16.374	22.65	17.75	236	70.09	8.31	
16.493	22.69	17.88	237	70.06	8.38	
16.615	22.82	17.66	238	70.09	8.31	
16.735	22.84	17.81	238	70.03	8.38	
16.856	23.02	17.41	240	70.09	8.22	
16.977	22.98	17.28	240	70.13	8.16	
17.097	23.13	17.28	241	70.09	8.19	
17.217	23.05	17.25	240	70.13	8.16	
17.337	23.29	17.34	243	70.06	8.31	
17.458	23.27	17.44	243	70.03	8.31	
17.578	23.5	17.38	245	70.03	8.38	
17.699	23.44	17.38	244	70.03	8.34	
17.819	23.71	17.41	247	69.97	8.5	
17.938	23.61	16.88	246	70.09	8.16	
18.058	23.86	16.97	249	70.03	8.31	
18.179	23.74	16.91	248	70.06	8.22	
18.3	23.97	16.94	250	70.03	8.31	
18.419	23.93	16.91	250	70.03	8.28	
18.542	24.14	16.97	252	69.97	8.41	
18.662	24.09	16.84	251	70.03	8.28	
18.783	24.26	16.91	253	69.97	8.38	
18.903	24.16	16.84	252	70	8.31	
19.024	24.34	16.66	254	70	8.25	
19.144	24.24	16.72	253	69.97	8.28	
19.265	24.41	16.44	255	70.03	8.16	
19.384	24.38	16.41	254	70.03	8.16	
19.504	24.53	16.41	256	70	8.22	
19.626	24.49	16.44	255	69.97	8.19	
19.746	24.64	16.38	257	69.97	8.22	
19.867	24.59	16.44	256	69.97	8.25	
19.987	24.8	16.5	259	69.94	8.34	
20.106	24.76	16.44	258	69.94	8.31	
20.226	24.95	16.56	260	69.91	8.41	
20.348	24.95	16.41	260	69.94	8.31	
20.469	25.03	16.31	261	69.94	8.31	
20.588	25.07	16.19	261	69.94	8.25	
20.709	25.11	15.94	262	70	8.13	
20.831	25.26	16.03	263	69.94	8.25	
20.952	25.24	16.09	263	69.94	8.25	
21.073	25.41	16.09	265	69.91	8.31	
21.195	25.34	15.97	264	69.94	8.22	
21.316	25.47	16	266	69.91	8.31	
21.436	25.39	15.94	265	69.94	8.22	
21.556	25.51	16.06	266	69.91	8.31	
21.675	25.41	15.88	265	69.94	8.16	
21.796	25.6	16.03	267	69.88	8.31	
21.916	25.53	16.03	266	69.84	8.31	
22.037	25.7	16.09	268	69.84	8.41	
22.16	25.66	15.97	268	69.84	8.31	
22.279	25.76	15.78	269	69.94	8.19	
22.4	25.81	15.63	269	69.91	8.19	
22.521	25.79	15.69	269	69.94	8.16	
22.641	25.93	15.69	270	69.88	8.25	
22.766	25.87	15.56	270	69.94	8.16	
22.887	26.02	15.66	271	69.88	8.25	
23.008	26	15.53	271	69.91	8.19	
23.13	26.14	15.5	273	69.88	8.22	
23.249	26.08	15.63	272	69.84	8.25	
23.371	26.23	15.56	274	69.84	8.25	
23.492	26.27	15.63	274	69.81	8.31	
23.614	26.29	15.56	274	69.84	8.25	
23.735	26.45	15.59	276	69.78	8.38	
23.857	26.35	15.72	275	69.78	8.38	
23.977	26.56	15.5	277	69.81	8.31	
24.098	26.5	15.56	276	69.78	8.34	
24.219	26.68	15.16	278	69.84	8.16	
24.339	26.68	15.06	278	69.88	8.13	
24.458	26.77	15.25	279	69.81	8.25	
24.578	26.83	15	280	69.84	8.16	
24.698	26.85	15.16	280	69.81	8.22	
24.819	26.96	15.34	281	69.75	8.34	
24.939	26.87	15.22	280	69.78	8.22	
25.06	27.08	15.16	282	69.78	8.28	
25.18	26.93	15.19	281	69.78	8.25	
25.3	27.14	15.19	283	69.75	8.34	
25.422	27.16	15.09	283	69.75	8.31	
25.543	27.12	15.25	283	69.72	8.34	
25.663	27.29	15.16	285	69.75	8.34	
25.784	27.16	15.03	283	69.78	8.22	
25.904	27.35	15.19	285	69.72	8.38	
26.026	27.21	15.09	284	69.75	8.31	
26.146	27.31	14.84	285	69.78	8.16	
26.266	27.35	14.81	285	69.75	8.16	
26.386	27.33	14.78	285	69.78	8.09	
26.508	27.48	14.78	287	69.75	8.22	
26.628	27.35	15	285	69.72	8.25	
26.75	27.5	14.78	287	69.78	8.16	
26.869	27.54	14.91	287	69.69	8.28	
26.993	27.67	14.69	289	69.75	8.16	
27.112	27.75	14.69	289	69.75	8.22	
27.232	27.69	14.69	289	69.75	8.22	
27.353	27.88	14.81	291	69.69	8.31	
27.474	27.75	14.66	289	69.75	8.22	
27.595	27.92	14.84	291	69.66	8.34	
27.716	27.86	14.72	291	69.69	8.25	
27.837	27.9	14.72	291	69.69	8.25	
27.957	28.02	14.72	292	69.66	8.31	
28.076	27.88	14.69	291	69.69	8.25	
28.198	28	14.63	292	69.69	8.22	
28.319	27.98	14.72	292	69.66	8.28	
28.441	28.02	14.69	292	69.69	8.28	
28.561	28.17	14.66	294	69.66	8.34	
28.681	28.02	14.69	292	69.69	8.28	
28.802	28.23	14.75	294	69.59	8.41	
28.922	28.07	14.69	293	69.63	8.28	
29.041	28.21	14.63	294	69.63	8.25	
29.162	28.25	14.63	295	69.63	8.31	
29.285	28.19	14.56	294	69.69	8.22	
29.405	28.38	14.75	296	69.56	8.41	
29.527	28.23	14.72	294	69.59	8.38	
29.648	28.21	14.47	294	69.66	8.22	
29.77	28.32	14.31	295	69.66	8.16	
29.891	28.11	14.41	293	69.69	8.09	
30.011	28.42	14.78	296	69.53	8.5	
30.131	28.3	14.19	295	69.72	8.03	
30.252	28.4	14.63	296	69.56	8.34	
30.375	28.5	14.63	297	69.56	8.41	
30.494	28.38	14.56	296	69.59	8.31	
30.616	28.57	14.38	298	69.63	8.25	
30.735	28.5	14.63	297	69.56	8.38	
30.856	28.61	14.38	298	69.59	8.22	
30.977	28.67	14.72	299	69.5	8.53	
31.097	28.55	14.31	298	69.63	8.19	
31.218	28.73	14.31	300	69.59	8.22	
31.342	28.63	14.63	299	69.5	8.41	
31.464	28.77	14.31	300	69.56	8.25	
31.585	28.92	14.38	302	69.53	8.38	
31.707	28.79	14.22	300	69.59	8.22	
31.827	29.02	14.31	303	69.53	8.38	
31.948	28.92	14.47	302	69.5	8.41	
32.069	29.05	14.22	303	69.53	8.25	
32.19	29.17	14.28	304	69.5	8.38	
32.31	29.03	14.22	303	69.53	8.28	
32.432	29.21	14.25	305	69.5	8.38	
32.552	29.13	14.09	304	69.53	8.25	
32.673	29.13	14.09	304	69.53	8.22	
32.794	29.28	14.38	305	69.47	8.47	
32.916	29.13	14.25	304	69.5	8.31	
33.035	29.3	14.34	306	69.44	8.47	
33.154	29.28	14.31	305	69.44	8.44	
33.274	29.21	14.34	305	69.47	8.41	
33.394	29.36	14.22	306	69.47	8.38	
33.518	29.19	14.03	304	69.53	8.22	
33.637	29.3	14.22	306	69.47	8.38	
33.758	29.42	14.34	307	69.41	8.47	
33.878	29.36	14.06	306	69.5	8.31	
33.998	29.47	13.94	307	69.5	8.25	
34.117	29.47	14.09	307	69.41	8.38	
34.237	29.45	13.84	307	69.53	8.16	
34.36	29.57	14	308	69.5	8.31	
34.48	29.53	14.31	308	69.41	8.53	
34.6	29.59	13.97	309	69.47	8.28	
34.72	29.7	13.91	310	69.44	8.31	
34.84	29.57	14.25	308	69.38	8.44	
34.962	29.72	13.97	310	69.41	8.34	
35.083	29.68	14	310	69.47	8.38	
35.203	29.68	13.81	310	69.47	8.22	
35.324	29.84	14.06	311	69.38	8.41	
35.446	29.66	14.06	309	69.41	8.38	
35.565	29.82	13.84	311	69.47	8.25	
35.685	29.86	13.88	311	69.41	8.31	
35.805	29.72	13.84	310	69.44	8.22	
35.925	29.89	13.91	312	69.41	8.34	
36.046	29.76	13.72	310	69.47	8.22	
36.166	29.82	13.72	311	69.47	8.19	
36.286	29.89	13.91	312	69.41	8.34	
36.407	29.72	13.84	310	69.44	8.25	
36.527	29.88	14.06	312	69.38	8.41	
36.648	29.82	13.78	311	69.41	8.25	
36.768	29.82	13.72	311	69.44	8.19	
36.889	29.97	13.78	313	69.44	8.25	
37.01	29.89	13.72	312	69.41	8.25	
37.131	29.91	13.84	312	69.41	8.31	
37.251	29.99	13.78	313	69.41	8.31	
37.373	29.84	13.78	311	69.41	8.25	
37.492	29.99	13.91	313	69.34	8.38	
37.614	30.01	13.75	313	69.38	8.28	
37.734	29.97	14.09	313	69.28	8.47	
37.855	30.16	13.88	315	69.34	8.38	
37.974	30.07	13.66	314	69.38	8.25	
38.094	30.13	13.91	314	69.31	8.38	
38.214	30.14	13.81	314	69.34	8.34	
38.334	30.07	13.69	314	69.38	8.25	
38.455	30.11	13.91	314	69.34	8.38	
38.575	30.18	13.81	315	69.34	8.38	
38.697	30.05	13.75	313	69.34	8.28	
38.818	30.18	13.84	315	69.28	8.38	
38.938	30.24	13.78	315	69.31	8.34	
39.061	30.14	13.81	314	69.34	8.38	
39.181	30.34	13.88	316	69.28	8.44	
39.302	30.3	13.66	316	69.34	8.31	
39.421	30.24	13.88	315	69.28	8.41	
39.542	30.41	13.75	317	69.31	8.38	
39.666	30.3	13.69	316	69.31	8.31	
39.787	30.39	13.84	317	69.25	8.41	
39.906	30.41	13.69	317	69.31	8.38	
40.028	30.41	13.81	317	69.25	8.41	
40.15	30.49	13.69	318	69.28	8.38	
40.27	30.61	13.41	319	69.34	8.22	
40.39	30.53	13.63	318	69.31	8.31	
40.511	30.64	13.59	320	69.25	8.38	
40.632	30.64	13.59	320	69.28	8.34	
40.752	30.53	13.34	318	69.34	8.16	
40.872	30.61	13.44	319	69.31	8.22	
40.992	30.51	13.78	318	69.22	8.44	
41.113	30.51	13.63	318	69.25	8.34	
41.233	30.57	13.53	319	69.25	8.31	
41.358	30.59	13.44	319	69.28	8.22	
41.469	30.57	13.53	319	69.28	8.25	
41.591	30.64	13.81	320	69.19	8.5	
41.712	30.53	13.75	318	69.22	8.41	
41.833	30.61	13.63	319	69.22	8.38	
41.953	30.72	13.66	320	69.19	8.41	
42.074	30.63	13.38	319	69.31	8.22	
42.195	30.82	13.41	321	69.25	8.28	
42.316	30.82	13.59	321	69.19	8.41	
42.437	30.8	13.53	321	69.22	8.38	
42.562	30.84	13.44	322	69.25	8.31	
42.672	30.84	13.22	322	69.28	8.16	
42.782	30.89	13.44	322	69.25	8.31	
42.891	30.89	13.25	322	69.25	8.22	
43.001	30.89	13.59	322	69.22	8.41	
43.11	30.93	13.59	323	69.19	8.41	
43.219	30.82	13.53	321	69.22	8.38	
43.328	30.89	13.44	322	69.22	8.31	
43.439	30.91	13.31	322	69.22	8.25	
43.55	30.84	13.44	322	69.22	8.28	
43.66	30.93	13.38	323	69.22	8.31	
43.771	30.78	13.34	321	69.22	8.25	
43.88	30.95	13.44	323	69.19	8.31	
43.989	30.86	13.31	322	69.22	8.25	
44.098	30.82	13.47	321	69.19	8.34	
44.209	30.95	13.28	323	69.25	8.25	
44.319	30.82	13.22	321	69.28	8.16	
44.429	30.97	13.47	323	69.19	8.34	
44.54	30.84	13.31	322	69.22	8.25	
44.66	30.91	13.31	322	69.22	8.25	
44.781	30.93	13.41	323	69.19	8.31	
44.901	30.93	13.22	323	69.22	8.22	
45.021	30.8	13.44	321	69.19	8.28	
45.141	30.97	13.44	323	69.16	8.34	
45.262	30.86	13.28	322	69.19	8.25	
45.382	30.91	13.44	322	69.16	8.31	
45.503	30.97	13.28	323	69.22	8.25	
45.622	30.87	13.38	322	69.16	8.25	
45.743	31.03	13.38	324	69.13	8.31	
45.865	31.03	13.44	324	69.13	8.38	
45.986	31.05	13.31	324	69.16	8.28	
46.106	31.08	13.47	324	69.13	8.41	
46.227	31.2	13.31	325	69.13	8.31	
46.349	31.08	13.38	324	69.13	8.31	
46.47	31.18	13.31	325	69.13	8.31	
46.59	31.29	13.44	326	69.09	8.41	
46.711	31.14	13.34	325	69.13	8.31	
46.831	31.33	13.44	327	69.06	8.41	
46.952	31.28	13.44	326	69.06	8.44	
47.073	31.22	13.38	326	69.09	8.38	
47.194	31.31	13.41	327	69.06	8.41	
47.315	31.33	13.19	327	69.09	8.25	
47.427	31.24	13.38	326	69.09	8.41	
47.548	31.31	13.31	327	69.09	8.38	
47.669	31.37	13.44	327	69.03	8.47	
47.793	31.22	13.41	326	69.06	8.38	
47.913	31.43	12.97	328	69.19	8.16	
48.034	31.31	13.13	327	69.13	8.25	
48.155	31.35	13.28	327	69.09	8.34	
48.271	31.35	13.28	327	69.09	8.34	
48.34	31.5	13.28	329	69.03	8.38	
48.46	31.6	13.19	330	69.03	8.38	
48.583	31.47	13	328	69.06	8.22	
48.696	31.54	13	329	69.09	8.22	
48.816	31.62	12.91	330	69.06	8.16	
48.936	31.62	13.03	330	69.06	8.28	
49.057	31.6	13.38	330	68.97	8.47	
49.177	31.71	13	331	69.06	8.28	
49.297	31.56	12.94	329	69.06	8.16	
49.419	31.64	13.16	330	69	8.38	
49.54	31.71	13.19	331	69	8.41	
49.661	31.66	13.31	330	68.94	8.47	
49.781	31.71	13.44	331	68.94	8.53	
49.901	31.68	13.44	330	68.94	8.53	
50.023	31.62	13.41	330	68.94	8.53	
50.143	31.64	13.28	330	68.97	8.41	
50.264	31.77	13.38	331	68.91	8.53	
50.388	31.68	13.31	330	68.94	8.5	
50.509	31.75	13	331	69	8.28	
50.629	31.83	12.97	332	69.03	8.28	
50.751	31.81	12.97	332	69	8.28	
50.872	31.79	13.34	332	68.91	8.5	
50.993	31.96	13.16	333	68.94	8.44	
51.117	31.91	12.91	333	69	8.25	
51.227	31.95	12.84	333	69.03	8.25	
51.348	32.08	12.97	335	68.97	8.38	
51.462	31.89	12.91	333	69	8.25	
51.575	31.93	12.94	333	69	8.28	
51.696	31.96	13	333	68.97	8.31	
51.817	31.85	12.91	332	69	8.25	
51.929	31.95	12.91	333	68.97	8.25	
52.04	31.93	13.31	333	68.84	8.56	
52.161	31.91	13.28	333	68.88	8.53	
52.282	31.96	13.03	333	68.94	8.38	
52.401	32.12	12.97	335	68.91	8.38	
52.522	31.95	12.97	333	68.94	8.31	
52.645	32.08	13.06	335	68.91	8.41	
52.755	32.02	13	334	68.91	8.34	
52.875	31.96	13.28	333	68.88	8.5	
52.997	32.04	13.22	334	68.84	8.5	
53.117	32.04	13.34	334	68.81	8.63	
53.238	31.98	13.38	334	68.81	8.63	
53.359	32.02	13.31	334	68.81	8.59	
53.48	32.2	13.06	336	68.91	8.44	
53.601	32.08	13.06	335	68.91	8.41	
53.727	32.1	12.97	335	68.91	8.34	
53.842	32.14	13.06	335	68.88	8.41	
53.964	31.98	12.91	334	68.94	8.25	
54.084	32.2	12.94	336	68.91	8.38	
54.204	32.14	13	335	68.88	8.38	
54.324	32.14	12.91	335	68.88	8.34	
54.445	32.12	12.91	335	68.94	8.28	
54.565	32.23	12.94	336	68.88	8.38	
54.686	32.16	12.81	335	68.94	8.25	
54.807	32.16	12.94	335	68.91	8.31	
54.928	32.29	12.94	337	68.88	8.38	
55.049	32.16	12.97	335	68.88	8.34	
55.17	32.18	13.31	336	68.72	8.63	
55.292	32.25	13	336	68.88	8.41	
55.412	32.27	12.97	337	68.84	8.41	
55.532	32.2	12.94	336	68.84	8.34	
55.653	32.27	12.94	336	68.84	8.38	
55.774	32.27	12.91	337	68.84	8.38	
55.894	32.18	12.94	336	68.84	8.34	
56.015	32.31	12.91	337	68.84	8.34	
56.135	32.31	12.94	337	68.81	8.38	
56.258	32.21	13.03	336	68.81	8.41	
56.376	32.25	13.06	336	68.78	8.47	
56.497	32.31	12.91	337	68.81	8.38	
56.618	32.23	12.91	336	68.84	8.31	
56.739	32.31	12.88	337	68.84	8.34	
56.86	32.35	13	337	68.78	8.47	
56.981	32.25	12.84	336	68.84	8.31	
57.103	32.33	12.97	337	68.81	8.41	
57.226	32.43	13.03	338	68.75	8.47	
57.347	32.31	12.84	337	68.81	8.34	
57.468	32.37	12.94	338	68.81	8.38	
57.588	32.41	12.81	338	68.84	8.34	
57.709	32.37	12.84	338	68.81	8.31	
57.829	32.33	12.91	337	68.78	8.34	
57.95	32.46	12.91	339	68.78	8.44	
58.071	32.48	12.91	339	68.78	8.44	
58.193	32.27	12.91	337	68.81	8.31	
58.313	32.45	13	338	68.78	8.47	
58.434	32.25	12.81	336	68.81	8.31	
58.556	32.35	12.53	337	68.91	8.09	
58.677	32.41	12.59	338	68.88	8.22	
58.798	32.48	12.91	339	68.78	8.44	
58.919	32.37	12.94	338	68.75	8.41	
59.04	32.48	12.66	339	68.84	8.25	
59.163	32.54	12.56	339	68.84	8.22	
59.284	32.43	12.72	338	68.78	8.28	
59.405	32.56	12.44	340	68.88	8.09	
59.524	32.58	12.56	340	68.84	8.22	
59.645	32.48	12.91	339	68.72	8.44	
59.767	32.5	12.66	339	68.84	8.25	
59.888	32.46	12.91	339	68.75	8.41	
60.009	32.5	12.91	339	68.72	8.44	
60.13	32.41	12.81	338	68.78	8.34	
60.245	32.52	12.63	339	68.81	8.25	
60.366	32.43	12.53	338	68.84	8.16	
60.487	32.43	12.94	338	68.72	8.44	
60.609	32.56	12.69	340	68.81	8.31	
60.731	32.56	12.91	340	68.69	8.47	
60.852	32.54	12.88	339	68.72	8.41	
60.973	32.52	12.72	339	68.75	8.31	
61.094	32.62	12.97	340	68.69	8.47	
61.215	32.41	12.69	338	68.78	8.25	
61.336	32.58	13	340	68.66	8.5	
61.457	32.52	13	339	68.66	8.53	
61.577	32.48	12.5	339	68.81	8.13	
61.697	32.48	13.03	339	68.66	8.5	
61.819	32.68	12.97	341	68.66	8.56	
61.939	32.58	12.84	340	68.69	8.41	
62.06	32.64	12.66	340	68.75	8.25	
62.181	32.71	12.59	341	68.75	8.31	
62.302	32.68	12.91	341	68.66	8.5	
62.424	32.66	12.97	341	68.66	8.5	
62.546	32.71	12.94	341	68.66	8.53	
62.667	32.79	12.72	342	68.69	8.41	
62.789	32.66	12.69	341	68.72	8.31	
