Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.092	7.26	27.16	75	75.72	5.09	
0.202	7.51	27.03	78	75.66	5.19	
0.311	7.76	26.56	81	75.66	5.16	
0.42	7.99	26.16	83	75.66	5.19	
0.532	8.11	26.16	84	75.63	5.22	
0.641	8.28	25.63	86	75.63	5.19	
0.749	8.39	25.19	87	75.66	5.09	
0.858	8.55	25.19	89	75.66	5.16	
0.967	8.72	24.72	91	75.63	5.13	
1.076	8.99	24.38	93	75.59	5.16	
1.185	9.08	24.25	94	75.59	5.16	
1.294	9.18	23.88	95	75.63	5.09	
1.403	9.27	23.84	96	75.59	5.13	
1.512	9.37	23.47	97	75.63	5.03	
1.621	9.54	23.06	99	75.66	5	
1.73	9.73	22.97	101	75.59	5.06	
1.84	9.81	22.69	102	75.63	5.03	
1.949	9.87	22.59	103	75.63	5	
2.059	9.98	22.16	104	75.66	4.97	
2.168	10.1	22.13	105	75.63	4.97	
2.277	10.29	21.84	107	75.59	5.03	
2.387	10.39	21.69	108	75.59	5	
2.496	10.44	21.81	109	75.59	5.03	
2.606	10.52	21.25	109	75.66	4.88	
2.715	10.65	21.25	111	75.59	4.97	
2.824	10.83	20.91	113	75.63	4.94	
2.933	10.9	20.78	113	75.59	4.91	
3.043	10.96	20.56	114	75.66	4.88	
3.152	11.05	20.34	115	75.66	4.84	
3.261	11.21	20.38	117	75.59	4.91	
3.37	11.38	20.09	118	75.63	4.88	
3.479	11.44	19.88	119	75.59	4.88	
3.587	11.48	19.91	119	75.59	4.88	
3.696	11.61	19.72	121	75.59	4.88	
3.804	11.77	19.53	122	75.59	4.88	
3.914	11.86	19.41	123	75.59	4.88	
4.024	11.92	19.22	124	75.63	4.78	
4.133	11.98	18.94	125	75.63	4.78	
4.243	12.15	19.03	126	75.59	4.81	
4.351	12.28	18.78	128	75.59	4.81	
4.46	12.34	18.59	128	75.63	4.78	
4.569	12.38	18.59	129	75.59	4.78	
4.678	12.49	18.59	130	75.56	4.84	
4.786	12.68	18.28	132	75.59	4.78	
4.893	12.68	18.13	132	75.63	4.72	
5.001	12.72	18.06	132	75.59	4.72	
5.11	12.86	18.19	134	75.56	4.78	
5.218	12.99	17.75	135	75.63	4.72	
5.327	13.09	17.78	136	75.59	4.72	
5.438	13.07	17.81	136	75.59	4.72	
5.547	13.18	17.69	137	75.56	4.78	
5.655	13.38	17.34	139	75.59	4.72	
5.764	13.43	17.34	140	75.59	4.72	
5.876	13.45	17.22	140	75.59	4.69	
5.984	13.53	17.25	141	75.56	4.72	
6.094	13.72	17.22	143	75.56	4.78	
6.202	13.72	16.84	143	75.59	4.66	
6.311	13.72	16.75	143	75.59	4.63	
6.42	13.89	16.75	145	75.59	4.66	
6.53	14.05	16.91	146	75.56	4.75	
6.639	14.07	16.81	146	75.56	4.72	
6.749	14.05	16.53	146	75.59	4.66	
6.86	14.26	16.34	148	75.59	4.66	
6.969	14.31	16.47	149	75.56	4.69	
7.077	14.35	16.34	149	75.56	4.69	
7.186	14.41	16.41	150	75.56	4.69	
7.296	14.64	16.38	152	75.53	4.78	
7.405	14.66	16	153	75.56	4.66	
7.515	14.66	15.97	153	75.56	4.66	
7.624	14.81	15.91	154	75.56	4.69	
7.733	15.08	15.97	157	75.53	4.75	
7.842	14.98	16	156	75.56	4.72	
7.951	15.06	15.91	157	75.53	4.72	
8.06	15.29	15.5	159	75.56	4.66	
8.169	15.33	15.53	160	75.56	4.69	
8.278	15.35	15.56	160	75.53	4.72	
8.387	15.45	15.5	161	75.53	4.72	
8.497	15.56	15.56	162	75.53	4.75	
8.606	15.64	15.41	163	75.53	4.72	
8.715	15.62	15.09	163	75.56	4.63	
8.825	15.89	15.16	165	75.53	4.69	
8.933	15.81	15.09	165	75.53	4.66	
9.042	15.81	15.03	165	75.53	4.66	
9.152	16	15.03	167	75.53	4.72	
9.26	16	15.06	167	75.53	4.69	
9.37	15.95	15.09	166	75.53	4.72	
9.478	16.04	14.56	167	75.56	4.56	
9.586	16.06	14.63	167	75.56	4.56	
9.694	16	14.72	167	75.56	4.56	
9.804	15.98	14.63	166	75.56	4.53	
9.912	16.14	14.69	168	75.53	4.63	
10.022	16	14.69	167	75.56	4.56	
10.131	15.98	14.63	166	75.56	4.56	
10.239	16.17	14.63	168	75.53	4.63	
10.348	16.17	14.66	168	75.53	4.63	
10.457	16.12	14.59	168	75.53	4.59	
10.565	16.27	14.56	169	75.53	4.63	
10.674	16.36	14.66	170	75.53	4.66	
10.783	16.31	14.63	170	75.53	4.66	
10.891	16.38	14.41	170	75.56	4.56	
11.001	16.54	14.25	172	75.56	4.56	
11.109	16.46	14.22	171	75.53	4.53	
11.219	16.52	14.38	172	75.53	4.59	
11.328	16.69	14.19	174	75.53	4.56	
11.438	16.67	14.19	174	75.53	4.56	
11.547	16.69	14.16	174	75.53	4.56	
11.657	16.9	14.19	176	75.53	4.63	
11.766	16.88	14.25	176	75.53	4.66	
11.875	16.88	14.16	176	75.53	4.63	
11.984	17.15	14.22	179	75.47	4.72	
12.093	17.13	14.22	178	75.47	4.66	
12.202	17.09	14.22	178	75.47	4.69	
12.311	17.32	14.22	180	75.47	4.72	
12.42	17.29	14	180	75.5	4.66	
12.53	17.27	13.78	180	75.53	4.56	
12.639	17.48	13.75	182	75.47	4.63	
12.747	17.48	13.81	182	75.47	4.63	
12.856	17.42	13.78	181	75.47	4.63	
12.966	17.63	13.75	184	75.47	4.66	
13.075	17.67	13.78	184	75.47	4.66	
13.183	17.61	13.78	183	75.47	4.66	
13.293	17.84	13.75	186	75.44	4.69	
13.402	17.84	13.78	186	75.44	4.69	
13.51	17.79	13.75	185	75.44	4.66	
13.62	17.99	13.31	187	75.47	4.56	
13.729	17.94	13.31	187	75.5	4.56	
13.838	17.92	13.25	187	75.5	4.53	
13.947	18.13	13.34	189	75.47	4.59	
14.056	18.07	13.38	188	75.47	4.63	
14.165	18.11	13.31	189	75.47	4.59	
14.274	18.34	13.31	191	75.44	4.66	
14.383	18.3	13.31	191	75.47	4.66	
14.493	18.32	13.28	191	75.44	4.63	
14.602	18.53	13.31	193	75.44	4.66	
14.716	18.47	13.34	192	75.44	4.69	
14.825	18.53	13.25	193	75.44	4.69	
14.934	18.76	12.91	195	75.47	4.59	
15.044	18.72	12.94	195	75.47	4.56	
15.152	18.97	12.84	198	75.44	4.63	
15.261	19.05	12.91	198	75.44	4.66	
15.371	18.99	12.91	198	75.44	4.63	
15.48	19.24	12.84	200	75.41	4.66	
15.59	19.16	12.94	200	75.41	4.69	
15.698	19.16	12.84	200	75.41	4.66	
15.808	19.3	12.88	201	75.41	4.72	
15.917	19.28	12.66	201	75.44	4.63	
16.027	19.24	12.41	200	75.47	4.5	
16.137	19.36	12.41	202	75.47	4.53	
16.246	19.28	12.47	201	75.47	4.53	
16.355	19.39	12.44	202	75.44	4.53	
16.464	19.49	12.5	203	75.44	4.56	
16.573	19.38	12.44	202	75.44	4.53	
16.684	19.59	12.47	204	75.41	4.63	
16.793	19.51	12.44	203	75.44	4.56	
16.902	19.47	12.44	203	75.44	4.56	
17.011	19.63	12.47	205	75.44	4.59	
17.12	19.49	12.5	203	75.44	4.59	
17.23	19.59	12.44	204	75.41	4.59	
17.339	19.68	12.47	205	75.41	4.63	
17.448	19.51	12.44	203	75.44	4.56	
17.557	19.74	12.44	206	75.41	4.63	
17.665	19.72	12.44	206	75.41	4.63	
17.774	19.66	12.44	205	75.41	4.59	
17.883	19.83	12.44	207	75.41	4.66	
17.992	19.74	12.5	206	75.41	4.63	
18.102	19.83	12.44	207	75.38	4.63	
18.211	19.91	12.44	208	75.38	4.66	
18.32	19.87	12.41	207	75.41	4.63	
18.431	20.03	12.44	209	75.38	4.69	
18.537	19.97	12.03	208	75.44	4.5	
18.646	19.93	12.22	208	75.41	4.59	
18.755	20.04	11.97	209	75.44	4.5	
18.864	19.97	12.03	208	75.41	4.5	
18.973	20.04	11.97	209	75.41	4.5	
19.082	20.1	12.28	210	75.38	4.63	
19.191	19.97	12.03	208	75.41	4.5	
19.3	20.14	12.13	210	75.41	4.59	
19.409	20.1	12.03	210	75.41	4.5	
19.518	20.12	11.97	210	75.41	4.53	
19.626	20.24	11.97	211	75.41	4.53	
19.735	20.18	11.97	210	75.41	4.53	
19.844	20.27	12.03	211	75.38	4.56	
19.953	20.27	12	211	75.41	4.56	
20.062	20.14	11.97	210	75.41	4.5	
20.171	20.24	11.97	211	75.41	4.53	
20.28	20.18	12.06	210	75.41	4.56	
20.389	20.25	12.03	211	75.41	4.56	
20.498	20.31	11.97	212	75.38	4.56	
20.607	20.25	11.97	211	75.38	4.53	
20.717	20.39	12.03	213	75.38	4.63	
20.826	20.39	12	213	75.38	4.56	
20.934	20.35	11.97	212	75.38	4.56	
21.044	20.41	11.97	213	75.38	4.56	
21.153	20.33	12.03	212	75.38	4.59	
21.261	20.46	12.06	213	75.34	4.63	
21.371	20.43	12	213	75.38	4.59	
21.48	20.41	11.97	213	75.38	4.56	
21.589	20.52	11.97	214	75.38	4.63	
21.698	20.54	11.94	214	75.38	4.56	
21.807	20.68	12.03	216	75.31	4.66	
21.915	20.68	12.06	216	75.31	4.66	
22.024	20.68	12.03	216	75.31	4.66	
22.132	20.77	12.03	217	75.31	4.66	
22.242	20.77	12.09	217	75.31	4.69	
22.35	20.77	11.97	217	75.31	4.66	
22.459	20.79	11.88	217	75.31	4.63	
22.568	20.75	11.97	216	75.31	4.66	
22.677	20.75	11.59	216	75.38	4.5	
22.786	20.79	11.69	217	75.38	4.56	
22.895	20.81	11.56	217	75.38	4.5	
23.004	20.89	11.81	218	75.31	4.63	
23.113	20.83	11.81	217	75.31	4.63	
23.223	20.89	11.59	218	75.38	4.53	
23.333	20.87	11.56	218	75.38	4.5	
23.443	20.89	11.78	218	75.31	4.63	
23.552	20.95	12	218	75.28	4.72	
23.661	20.91	11.56	218	75.34	4.53	
23.77	21	11.56	219	75.34	4.56	
23.879	21	11.53	219	75.38	4.5	
23.988	21	11.56	219	75.34	4.53	
24.097	21.1	11.59	220	75.31	4.59	
24.207	20.96	11.5	219	75.34	4.5	
24.316	21.08	11.63	220	75.31	4.56	
24.424	21.2	11.53	221	75.34	4.56	
24.534	21.04	11.56	219	75.34	4.56	
24.643	21.14	11.66	220	75.31	4.63	
24.751	21.14	11.63	220	75.31	4.56	
24.859	21.14	11.56	220	75.31	4.56	
24.969	21.12	11.56	220	75.31	4.56	
25.078	21.25	11.56	222	75.31	4.59	
25.188	21.12	11.56	220	75.31	4.56	
25.298	21.16	11.56	221	75.31	4.56	
25.407	21.25	11.59	222	75.31	4.63	
25.516	21.16	11.66	221	75.28	4.63	
25.625	21.31	11.5	222	75.31	4.56	
25.734	21.37	11.59	223	75.28	4.63	
25.843	21.31	11.56	222	75.28	4.59	
25.952	21.48	11.56	224	75.28	4.63	
26.061	21.43	11.59	223	75.28	4.63	
26.17	21.54	11.56	225	75.28	4.66	
26.279	21.52	11.5	224	75.28	4.63	
26.389	21.5	11.56	224	75.25	4.66	
26.498	21.56	11.5	225	75.28	4.63	
26.608	21.58	11.53	225	75.25	4.66	
26.718	21.66	11.59	226	75.25	4.69	
26.828	21.58	11.59	225	75.25	4.66	
26.936	21.62	11.5	225	75.25	4.66	
27.046	21.64	11.16	226	75.31	4.5	
27.155	21.58	11.44	225	75.28	4.63	
27.264	21.69	11.19	226	75.31	4.53	
27.373	21.62	11.19	225	75.31	4.5	
27.482	21.69	11.44	226	75.25	4.66	
27.592	21.67	11.25	226	75.31	4.56	
27.701	21.64	11.25	226	75.28	4.53	
27.809	21.75	11.25	227	75.28	4.56	
27.919	21.66	11.25	226	75.31	4.53	
28.029	21.83	11.34	228	75.28	4.63	
28.137	21.79	11.09	227	75.31	4.5	
28.247	21.79	11.13	227	75.31	4.5	
28.356	21.9	11.13	228	75.28	4.56	
28.465	21.87	11.25	228	75.28	4.56	
28.574	21.98	11.28	229	75.28	4.63	
28.683	21.94	11.13	229	75.28	4.56	
28.792	22.06	11.19	230	75.28	4.59	
28.903	22.29	11.13	232	75.25	4.63	
29.016	22.13	11.09	231	75.28	4.56	
29.125	22.27	11.09	232	75.28	4.56	
29.234	22.3	11.09	233	75.25	4.59	
29.344	22.21	11.19	232	75.25	4.63	
29.453	22.15	11.13	231	75.25	4.56	
29.563	22.36	11.09	233	75.25	4.63	
29.672	22.25	11.09	232	75.25	4.59	
29.782	22.23	11.13	232	75.25	4.59	
29.891	22.34	11.16	233	75.25	4.63	
30	22.23	11.09	232	75.25	4.56	
30.108	22.4	11.13	234	75.22	4.66	
30.218	22.36	11.16	233	75.25	4.63	
