Time(s)	Vehicle Speed(Km/hour)	Motor Current(Amps)	Motor RPM(RPM)	Battery Voltage(Volts)	Battery Current(Amps)	
0.067	10.08	26.5	105	74.56	6.38	
0.177	10.23	26.44	106	74.56	6.38	
0.286	10.48	26.41	109	74.5	6.53	
0.396	10.75	26.19	112	74.5	6.56	
0.506	10.84	26.03	113	74.47	6.53	
0.616	11.02	25.72	115	74.47	6.5	
0.725	11.17	25.59	116	74.44	6.59	
0.835	11.44	25.63	119	74.41	6.69	
0.944	11.69	25.19	122	74.41	6.66	
1.054	11.84	24.78	123	74.44	6.59	
1.163	11.96	24.78	124	74.41	6.66	
1.269	11.96	24.78	124	74.41	6.66	
1.341	14.05	22.13	146	74.31	6.63	
1.451	14.41	21.66	150	74.34	6.59	
1.561	14.52	21.66	151	74.31	6.66	
1.67	14.6	21.22	152	74.34	6.5	
1.78	14.87	21.13	155	74.31	6.66	
1.89	15.02	20.94	156	74.34	6.53	
1.998	15.08	20.78	157	74.34	6.53	
2.108	15.18	20.72	158	74.31	6.53	
2.217	15.41	20.41	160	74.34	6.53	
2.327	15.37	20.28	160	74.34	6.47	
2.437	15.43	20.31	161	74.34	6.5	
2.546	15.62	19.84	163	74.34	6.41	
2.654	15.79	19.88	164	74.31	6.47	
2.764	15.77	19.91	164	74.34	6.5	
2.873	15.91	19.59	166	74.34	6.41	
2.982	16.19	19.41	169	74.34	6.44	
3.092	16.21	19.41	169	74.31	6.41	
3.201	16.25	19.47	169	74.31	6.5	
3.311	16.56	19.03	172	74.31	6.41	
3.421	16.56	19.06	172	74.34	6.41	
3.53	16.63	18.97	173	74.31	6.41	
3.642	16.92	18.94	176	74.28	6.53	
3.752	16.96	18.56	177	74.31	6.38	
3.862	17	18.63	177	74.31	6.38	
3.971	17.27	18.63	180	74.28	6.53	
4.08	17.32	18.63	180	74.28	6.5	
4.189	17.32	18.16	180	74.31	6.31	
4.299	17.55	18.13	183	74.28	6.41	
4.408	17.59	18.19	183	74.31	6.41	
4.518	17.57	18.16	183	74.28	6.38	
4.628	17.82	17.91	186	74.28	6.41	
4.744	17.86	17.75	186	74.31	6.34	
4.849	17.86	17.75	186	74.31	6.34	
4.948	18.97	16.72	198	74.28	6.28	
5.057	18.89	16.88	197	74.28	6.28	
5.162	18.89	16.88	197	74.28	6.28	
5.208	19.97	16.03	208	74.25	6.28	
5.318	20.06	16.03	209	74.25	6.25	
5.427	20.01	15.91	209	74.28	6.22	
5.532	20.01	15.91	209	74.28	6.22	
5.62	20.71	15.5	216	74.25	6.22	
